"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"alethe_choloensis","Alethe_choloensis","Catalogue of Life",0.988,"Alethe choloensis"
"allactaga_elater","Allactaga_elater","Catalogue of Life",0.988,"Allactaga elater"
"allactaga_euphratica","Allactaga_euphratica","Catalogue of Life",0.988,"Allactaga euphratica"
"allactaga_tetradactyla","Allactaga_tetradactyla","Catalogue of Life",0.988,"Allactaga tetradactyla"
"allactodipus_bobrinskii","Allactodipus_bobrinskii","Catalogue of Life",0.988,"Allactodipus bobrinskii"
"alle_alle","Alle_alle","Catalogue of Life",0.988,"Alle alle"
"allenopithecus_nigroviridis","Allenopithecus_nigroviridis","Catalogue of Life",0.988,"Allenopithecus nigroviridis"
"alligator_mississippiensis","Alligator_mississippiensis","Catalogue of Life",0.988,"Alligator mississippiensis"
"alligator_sinensis","Alligator_sinensis","Catalogue of Life",0.988,"Alligator sinensis"
"allocebus_trichotis","Allocebus_trichotis","Catalogue of Life",0.988,"Allocebus trichotis"
"alopias_vulpinus","Alopias_vulpinus","Catalogue of Life",0.988,"Alopias vulpinus"
"alopochen_aegyptiaca","Alopochen_aegyptiaca","Catalogue of Life",0.988,"Alopochen aegyptiaca"
"alosa_aestivalis","Alosa_aestivalis","Catalogue of Life",0.988,"Alosa aestivalis"
"alosa_chrysochloris","Alosa_chrysochloris","Catalogue of Life",0.988,"Alosa chrysochloris"
"alosa_pseudoharengus","Alosa_pseudoharengus","Catalogue of Life",0.988,"Alosa pseudoharengus"
"alosa_sapidissima","Alosa_sapidissima","Catalogue of Life",0.988,"Alosa sapidissima"
"alouatta_belzebul","Alouatta_belzebul","Catalogue of Life",0.988,"Alouatta belzebul"
"alouatta_caraya","Alouatta_caraya","Catalogue of Life",0.988,"Alouatta caraya"
"alouatta_guariba","Alouatta_guariba","Catalogue of Life",0.988,"Alouatta guariba"
"alouatta_palliata","Alouatta_palliata","Catalogue of Life",0.988,"Alouatta palliata"
"alouatta_pigra","Alouatta_pigra","Catalogue of Life",0.988,"Alouatta pigra"
"alouatta_seniculus","Alouatta_seniculus","Catalogue of Life",0.988,"Alouatta seniculus"
"alpheus_heterochaelis","Alpheus_heterochaelis","ITIS",0.988,"Alpheus heterochaelis"
"altica_subplicata","Altica_subplicata","ITIS",0.988,"Altica subplicata"
"alytes_obstetricans","Alytes_obstetricans","Catalogue of Life",0.988,"Alytes obstetricans"
"amandava_amandava","Amandava_amandava","Catalogue of Life",0.988,"Amandava amandava"
"amazilia_saucerrottei","Amazilia_saucerrottei","Catalogue of Life",0.988,"Amazilia saucerrottei"
"amazilia_tzacatl","Amazilia_tzacatl","Catalogue of Life",0.988,"Amazilia tzacatl"
"amazona_aestiva","Amazona_aestiva","Catalogue of Life",0.988,"Amazona aestiva"
"amazona_autumnalis","Amazona_autumnalis","Catalogue of Life",0.988,"Amazona autumnalis"
"amazona_farinosa","Amazona_farinosa","Catalogue of Life",0.988,"Amazona farinosa"
"amazona_imperialis","Amazona_imperialis","Catalogue of Life",0.988,"Amazona imperialis"
"amazona_leucocephala","Amazona_leucocephala","Catalogue of Life",0.988,"Amazona leucocephala"
"amazona_ochrocephala","Amazona_ochrocephala","Catalogue of Life",0.988,"Amazona ochrocephala"
"amazona_vittata","Amazona_vittata","Catalogue of Life",0.988,"Amazona vittata"
"amblema_plicata","Amblema_plicata","Catalogue of Life",0.988,"Amblema plicata"
"ambloplites_rupestris","Ambloplites_rupestris","Catalogue of Life",0.988,"Ambloplites rupestris"
"amblycercus_holosericeus","Amblycercus_holosericeus","Catalogue of Life",0.988,"Amblycercus holosericeus"
"amblyomma_cajennense","Amblyomma_cajennense","Catalogue of Life",0.988,"Amblyomma cajennense"
"amblyomma_maculatum","Amblyomma_maculatum","Catalogue of Life",0.988,"Amblyomma maculatum"
"amblyopsis_rosae","Amblyopsis_rosae","Catalogue of Life",0.988,"Amblyopsis rosae"
"amblyornis_macgregoriae","Amblyornis_macgregoriae","Catalogue of Life",0.988,"Amblyornis macgregoriae"
"amblyrhynchus_cristatus","Amblyrhynchus_cristatus","Catalogue of Life",0.988,"Amblyrhynchus cristatus"
"amblysomus_hottentotus","Amblysomus_hottentotus","Catalogue of Life",0.988,"Amblysomus hottentotus"
"ambystoma_annulatum","Ambystoma_annulatum","Catalogue of Life",0.988,"Ambystoma annulatum"
"ambystoma_californiense","Ambystoma_californiense","Catalogue of Life",0.988,"Ambystoma californiense"
"ambystoma_cingulatum","Ambystoma_cingulatum","Catalogue of Life",0.988,"Ambystoma cingulatum"
"ambystoma_gracile","Ambystoma_gracile","Catalogue of Life",0.988,"Ambystoma gracile"
"ambystoma_jeffersonianum","Ambystoma_jeffersonianum","Catalogue of Life",0.988,"Ambystoma jeffersonianum"
"ambystoma_laterale","Ambystoma_laterale","Catalogue of Life",0.988,"Ambystoma laterale"
