"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"bucephala_albeola","Bucephala albeola",2498329,"ACCEPTED","EXACT","Bucephala albeola",2498329,"Anseriformes","Anatidae"
"bucephala_clangula","Bucephala clangula",2498326,"ACCEPTED","EXACT","Bucephala clangula",2498326,"Anseriformes","Anatidae"
"bucephala_islandica","Bucephala islandica",2498325,"ACCEPTED","EXACT","Bucephala islandica",2498325,"Anseriformes","Anatidae"
"buceros_bicornis","Buceros bicornis",2476012,"ACCEPTED","EXACT","Buceros bicornis",2476012,"Bucerotiformes","Bucerotidae"
"bucorvus_abyssinicus","Bucorvus abyssinicus",2476042,"ACCEPTED","EXACT","Bucorvus abyssinicus",2476042,"Bucerotiformes","Bucorvidae"
"bucorvus_leadbeateri","Bucorvus leadbeateri",2476041,"ACCEPTED","EXACT","Bucorvus leadbeateri",2476041,"Bucerotiformes","Bucorvidae"
"budorcas_taxicolor","Budorcas taxicolor",2441046,"ACCEPTED","EXACT","Budorcas taxicolor",2441046,"Artiodactyla","Bovidae"
"bugeranus_carunculatus","Bugeranus carunculatus",2474925,"ACCEPTED","EXACT","Bugeranus carunculatus",2474925,"Gruiformes","Gruidae"
"bullimus_bagobus","Bullimus bagobus",2437852,"ACCEPTED","EXACT","Bullimus bagobus",2437852,"Rodentia","Muridae"
"bullimus_luzonicus","Bullimus luzonicus",2437853,"ACCEPTED","EXACT","Bullimus luzonicus",2437853,"Rodentia","Muridae"
"bunolagus_monticularis","Bunolagus monticularis",2436681,"ACCEPTED","EXACT","Bunolagus monticularis",2436681,"Lagomorpha","Leporidae"
"bunomys_chrysocomus","Bunomys chrysocomus",5219843,"ACCEPTED","EXACT","Bunomys chrysocomus",5219843,"Rodentia","Muridae"
"bunomys_fratrorum","Bunomys fratrorum",5219845,"ACCEPTED","EXACT","Bunomys fratrorum",5219845,"Rodentia","Muridae"
"bunopithecus_hoolock","Bunopithecus hoolock",4267262,"SYNONYM","EXACT","Hoolock hoolock",5786121,"Primates","Hylobatidae"
"burramys_parvus","Burramys parvus",2440237,"ACCEPTED","EXACT","Burramys parvus",2440237,"Diprotodontia","Burramyidae"
"buteo_albonotatus","Buteo albonotatus",2480541,"ACCEPTED","EXACT","Buteo albonotatus",2480541,"Accipitriformes","Accipitridae"
"buteo_brachyurus","Buteo brachyurus",2480553,"ACCEPTED","EXACT","Buteo brachyurus",2480553,"Accipitriformes","Accipitridae"
"buteo_galapagoensis","Buteo galapagoensis",2480569,"ACCEPTED","EXACT","Buteo galapagoensis",2480569,"Accipitriformes","Accipitridae"
"buteo_jamaicensis","Buteo jamaicensis",2480542,"ACCEPTED","EXACT","Buteo jamaicensis",2480542,"Accipitriformes","Accipitridae"
"buteo_lagopus","Buteo lagopus",2480524,"ACCEPTED","EXACT","Buteo lagopus",2480524,"Accipitriformes","Accipitridae"
"buteo_lineatus","Buteo lineatus",2480529,"ACCEPTED","EXACT","Buteo lineatus",2480529,"Accipitriformes","Accipitridae"
"buteo_platypterus","Buteo platypterus",2480538,"ACCEPTED","EXACT","Buteo platypterus",2480538,"Accipitriformes","Accipitridae"
"buteo_regalis","Buteo regalis",2480566,"ACCEPTED","EXACT","Buteo regalis",2480566,"Accipitriformes","Accipitridae"
"buteo_swainsoni","Buteo swainsoni",2480562,"ACCEPTED","EXACT","Buteo swainsoni",2480562,"Accipitriformes","Accipitridae"
"buteogallus_anthracinus","Buteogallus anthracinus",2480651,"ACCEPTED","EXACT","Buteogallus anthracinus",2480651,"Accipitriformes","Accipitridae"
"butorides_sundevalli","Butorides sundevalli",2480818,"ACCEPTED","EXACT","Butorides sundevalli",2480818,"Pelecaniformes","Ardeidae"
"butorides_virescens","Butorides virescens",9539567,"ACCEPTED","EXACT","Butorides virescens",9539567,"Pelecaniformes","Ardeidae"
"bycanistes_subcylindricus","Bycanistes subcylindricus",5228440,"ACCEPTED","EXACT","Bycanistes subcylindricus",5228440,"Bucerotiformes","Bucerotidae"
"cabassous_centralis","Cabassous centralis",2440806,"ACCEPTED","EXACT","Cabassous centralis",2440806,"Cingulata","Dasypodidae"
