"species","class","carnivore","carnivore_piscivore","carnivore_sanguivore","carnivore_insectivore","carnivore_molluscivore","carnivore_eats_other_marine_invertebrates","herbivore","herbivore_frugivore","herbivore_lignivore","herbivore_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","stores_or_caches_food","filter_feeding","endothermic","ectothermic","heterothermic","homoiothermic","bilateral_symmetry","radial_symmetry","polymorphic","poisonous","venomous","mass_average_kg","mass_extreme_low_kg","mass_extreme_high_kg","mass_adult_average_kg","mass_adult_female_average_kg","mass_adult_male_average_kg","mass_embryo_average_kg","mass_weanling_average_kg","mass_female_average_kg","mass_male_average_kg","length_average_m","length_extreme_low_m","length_extreme_high_m","length_adult_female_average_m","length_embryo_average_m","length_neonate_average_m","length_adult_average_m","length_adult_male_average_m","length_female_average_m","length_male_average_m","wingspan_average_m","wingspan_extreme_low_m","wingspan_extreme_high_m","basal_metabolic_rate"
"acerodon_jubatus","mammalia",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1.125,1.05,1.2,NA,NA,NA,NA,NA,NA,NA,0.234,0.178,0.29,NA,NA,NA,NA,NA,NA,NA,1.6,1.51,1.7,NA
"acerodon_leucotis","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acerodon_lucifer","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acerodon_mackloti","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acinonyx_jubatus","mammalia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,46.5,21,72,NA,NA,NA,NA,NA,NA,NA,1.31,1.12,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_cahirinus","mammalia",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.05,0.03,0.07,NA,NA,NA,NA,NA,NA,NA,0.12,0.07,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_cineraceus","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_kempi","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_louisae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_minous","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acomys_percivali","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
