"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Noturus flavipinnis","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","Vulnerable","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Noturus flavus","YES","YES","","YES","","","","","","","","","","","","","","","","YES","","","","","YES","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","No special status","","YES","YES","",0.3,NA,NA,NA,NA,NA,NA,NA
"Noturus miurus","YES","","","","","YES","","","","","YES","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","","","YES","YES","","","YES","","","Least Concern","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nucifraga columbiana","","","","","","","YES","","","","","","","","","YES","","","","","YES","","","YES","YES","","","","","","","","","","","","","YES","","","","","","","","","","","","","","","Least Concern","YES","","","",0.141,NA,NA,NA,NA,NA,NA,NA
"Nyctalus aviator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctalus azoreum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctalus lasiopterus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctalus leisleri","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.0155,NA,NA,NA,NA,NA,NA,NA
"Nyctalus montanus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctalus noctula","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.027,NA,NA,NA,NA,NA,NA,NA
"Nyctanassa violacea","YES","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","","","","","YES","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.725,NA,NA,NA,NA,NA,NA,NA
"Nyctea scandiaca","YES","","","","","","","","","","","","","","","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",1.525,NA,NA,NA,NA,NA,NA,NA
"Nyctereutes procyonoides","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","YES","YES","","","YES","YES","","YES","","","YES","YES","","","","YES","YES","YES","YES","YES","","","","","","","","","","","","","","Least Concern","YES","","","YES",7,NA,NA,NA,NA,NA,NA,NA
"Nycteris arge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris gambiensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris grandis","YES","","","YES","","","","","","","","","","","","YES","YES","YES","YES","YES","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","YES","",0.03,NA,NA,NA,NA,NA,NA,NA
"Nycteris hispida","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris intermedia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris javanica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris macrotis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris madagascariensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris major","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris nana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris thebaica","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.0113,NA,NA,NA,NA,NA,NA,NA
"Nycteris tragata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris vinsoni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycteris woodi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctibius grandis","YES","","","YES","","","","","","","","","","","","","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.505,NA,NA,NA,NA,NA,NA,NA
"Nycticebus bengalensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycticebus coucang","YES","","","YES","","","YES","YES","","","YES","","","","","","","","","","YES","","","","YES","YES","YES","","","","","","","","","","YES","","YES","YES","","","YES","","","","","","","","","","Vulnerable","YES","","","YES",0.642,NA,NA,NA,NA,NA,NA,NA
"Nycticebus pygmaeus","YES","","","YES","","","YES","YES","","","YES","","","","","","","","","","YES","","","","YES","","","","","","","","","","","","","","YES","YES","","YES","YES","","","","","","YES","","","","Vulnerable","YES","","","",0.4,NA,NA,NA,NA,NA,NA,NA
"Nycticeinops schlieffeni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nycticeius humeralis","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","YES","",0.01,NA,NA,NA,NA,NA,NA,NA
"Nycticorax nycticorax","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.8,NA,NA,NA,NA,NA,NA,NA
"Nyctiellus lepidus","YES","","","YES","","","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.0075,NA,NA,NA,NA,NA,NA,NA
"Nyctimene aello","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene albiventer","","","","","","","YES","YES","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","","","","YES","YES",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.045,NA,NA,NA,NA,NA,NA,NA
"Nyctimene cephalotes","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene certans","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene cyclotis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene draconilla","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene major","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene malaitensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene masalai","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene minutus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene rabori","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Endangered","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene robinsoni","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene sanctacrucis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctimene vizcaccia","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops aurispinosus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops femorosaccus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.012,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops laticaudatus","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops macrotis","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.024,NA,NA,NA,NA,NA,NA,NA
"Nyctomys sumichrasti","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus arnhemensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus bifax","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus geoffroyi","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.007,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus gouldi","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus microdon","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus microtis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus timoriensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nyctophilus walkeri","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nymphalis antiopa","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nymphalis l-album","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Nymphicus hollandicus","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","","","YES","YES","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.085,NA,NA,NA,NA,NA,NA,NA
"Obliquaria reflexa","","","","","","","","","","","","YES",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","YES",NA,"YES",NA,"YES","","YES","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Obovaria olivaria","","","","","","","","","","","","YES",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","YES",NA,"YES",NA,"YES","","YES","Lower Risk - Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Obovaria subrotunda","","","","","","","","","","","","YES",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","YES",NA,"YES",NA,"YES","","YES","Lower Risk - Near Threatened","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona alpina","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona cansus","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","YES","","","",NA,"YES","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona collaris","","","","","","","YES","","","","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","YES","","","","","",NA,"YES","","","","",NA,"",NA,"","YES","","Least Concern","YES","","","YES",0.16,NA,NA,NA,NA,NA,NA,NA
"Ochotona curzoniae","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","YES","","",NA,"YES","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.15,NA,NA,NA,NA,NA,NA,NA
"Ochotona dauurica","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona erythrotis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona gaoligongensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona himalayana","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona hyperborea","","","","","","","YES","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","","","YES","","","YES","","",NA,"YES","","YES","YES","",NA,"",NA,"","YES","","Least Concern","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona iliensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona koslowi","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona ladacensis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona macrotis","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","YES","YES","","",NA,"YES","","YES","YES","",NA,"",NA,"","YES","","Least Concern","YES","","","",0.12,NA,NA,NA,NA,NA,NA,NA
"Ochotona pallasi","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","YES","","",NA,"","","","","",NA,"",NA,"","YES","","Least Concern","YES","","","YES",0.19,NA,NA,NA,NA,NA,NA,NA
"Ochotona princeps","","","","","","","YES","","YES","","","",NA,"","YES","","","","","","","","","","","","","","","","","","","","YES","","YES","","","",NA,"YES","","","","",NA,"",NA,"","YES","","Least Concern","YES","","","YES",0.1485,NA,NA,NA,NA,NA,NA,NA
"Ochotona pusilla","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","YES","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",0.2625,NA,NA,NA,NA,NA,NA,NA
"Ochotona roylei","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona rufescens","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","YES","YES","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Ochotona rutila","","","","","","","YES","","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","YES","","","",NA,"YES","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.25,NA,NA,NA,NA,NA,NA,NA
"Ochotona thibetana","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ochrotomys nuttalli","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",0.0225,NA,NA,NA,NA,NA,NA,NA
"Octodon bridgesi","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octodon degus","","","","","","","YES","","YES","","","",NA,"","YES","","","","","","","","","","","","","","","","","","","","YES","","YES","YES","","",NA,"","","","","",NA,"",NA,"","YES","","Least Concern","YES","","","YES",0.235,NA,NA,NA,NA,NA,NA,NA
"Octodon lunatus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octodontomys gliroides","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octomys mimax","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octopus bimaculatus","YES","","","","YES","","","","","","","",NA,"","","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Octopus briareus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octopus joubini","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Octopus vulgaris","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ocypode quadrata","YES","","","","","","","","","","","",NA,"","","","","","","","YES","","","YES","","YES","YES","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Odobenus rosmarus","YES","","","","YES","","","","","","","",NA,"","","YES","YES","","","","","","","","","","YES","","","YES","","","YES","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Data Deficient","YES","","","",1000,NA,NA,NA,NA,NA,NA,NA
"Odocoileus hemionus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","",96.5,NA,NA,NA,NA,NA,NA,NA
"Odocoileus virginianus","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Least Concern","YES","","","YES",97,NA,NA,NA,NA,NA,NA,NA
"Odontaster validus","YES","","","","YES","YES","YES","","","YES","YES","",NA,"","","","","","","","","","","YES","","","YES","","","YES","YES","YES","","","","","","","","",NA,"","","","","YES",NA,"YES",NA,"YES","YES","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Odontodactylus brevirostris","YES","","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","YES","","","YES","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys bicolor","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys cleberi","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys concolor","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys flavicans","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys mamorae","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys paricola","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys phaeotis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys rex","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys roberti","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys rutilus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys speciosus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys superans","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecomys trinitatis","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oecophylla longinoda","YES","","","YES","","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Oeneis uhleri","","","","","","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","","","","","YES",NA,"","","","","",NA,"",NA,"","","","Not Evaluated","","YES","YES","",0.0002,NA,NA,NA,NA,NA,NA,NA
"Oenomys hypoxanthus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Oenomys ornatus","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Okapia johnstoni","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","Near Threatened","YES","","","",250,NA,NA,NA,NA,NA,NA,NA
"Olallamys albicauda","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","",NA,"",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
