"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Acomys cahirinus","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","YES","YES","YES","YES","","","","","","","","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.05,NA,NA,NA,NA,NA,NA,NA
"Acomys cineraceus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys kempi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys louisae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys minous","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys percivali","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys russatus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.045,NA,NA,NA,NA,NA,NA,NA
"Acomys spinosissimus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys subspinosus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acomys wilsoni","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
