"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"aeshna_umbrosa",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,NA,1,1,0,NA,1,0,1,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"aethia_cristatella",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.26,1,1,0,NA,1,0,0,1,0,NA,0,1,NA,NA,0,NA,NA,NA
"aethia_pusilla",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.086,1,0,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aetobatus_narinari",NA,NA,NA,NA,"Near Threatened",NA,1,1,NA,230,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"agalychnis_callidryas",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"agama_agama",NA,NA,NA,NA,"No special status",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"agamia_agami",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,2.5,1,0,0,NA,1,0,1,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"agapornis_fischeri",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.05,0,0,1,1,0,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"agapornis_personatus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0525,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"agapornis_roseicollis",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0548,0,0,1,NA,0,0,0,NA,0,NA,0,0,1,NA,1,NA,NA,NA
