Reference Name,Number of records from each reference
"Webb, G.J.W., Manolis, S.C. and R. Buckworth, 1983",14
"Beck, 2010",13
"Bennett, N.C., Faulkes, C.G., Hart, L., et al, 2009",13
"Bezuijen et al., 2013",13
"Farquhar, C., 2005",13
"Germano, 1992",13
"Hibbitts et al., 2005",13
"Lariviere, S., 2001c",13
"Leon, L., Monterrubio, T.C., Hafner, M.S., 2001",13
"Nagorsen, D.W., 1993",13
"Shine, R., Harlow, P.S., and J.S. Keogh, 1996",13
"Skurski, D.A., Waterman, J.M., 2005",13
"Streubel, D.P., Fitzgerald, J.P., 1978b",13
"Youngman, P.M., 1990",13
"Alvarez-Castaneda, S.T., 2005",12
"Bump, G., Bump, J.W., 1969",12
"Caceres, N.C., Carmingnotto, A.P., 2006",12
"Carvalho, Pezzuti, and Maranhao, 2011",12
"Cole, F.R., Wilson, D.E., 2009",12
"Croxall, J.P., Reid, K., Prince, P.A., 1999",12
"Debus, S., 2012",12
"Furtado dos Reis, S., Pessoa, L.M., 2004",12
"Jefferson, T.A., Karczmarski, L., 2001",12
"Jouventin and Dobson, 2002",12
"Krausman, P.R., Casey, A.L., 2007",12
"Leslie Jr., D.M., Sharma, K., 2009",12
"Nash, D.J., Seaman, R.N., 1977",12
"Naughton, D. 2012",12
"Reaney, L.T., Yee, S., Losos, J.B., and M.J. Whiting, 2012",12
"St. Louis, A., Cote, S.D., 2009",12
"Taylor, S. 2012",12
"Todd, B.D., Wilson, J.D., Winne, C.T. et al., 2008",12
"Vyas, 2005",12
"Wesiak and Koch, 2009",12
"Alvarez-Castaneda, S.T., 2002",11
"Belcher, R.L., Lee Jr., T.E., 2002",11
"Bucher, J.E., Hoffman, R.S., 1980",11
"Clemente, C.J., Withers, P.C., and G.G. Thompson, 2009",11
"Evans, K., Hindell, M.A., 2004",11
"Goldberg, S.R., Bursey, C.R., Tawil, R., 1994",11
"Gompper, M.E., Vanak, A.T., 2006",11
"Hammond, 2009",11
"Harding, 2010",11
"Heij, 1997",11
"Holyoake, et al. 2010",11
"Hwang, Y.T., Lariviere, S., 2005",11
"Iverson, 2010",11
"Juvik, J.O., Meier, D.E. and S. McKeown, 1991",11
"Lee, T.E., Scott, J.B., Marcum, M.M., 2001",11
"Leslie, D.M., 2010b",11
"Presley, S.J., 2000",11
"Rao, M.S., Ohja, P.R., Rao, R., 2013",11
"Smith, P., 2009",11
"Tognelli, M.F., Campos, C.M., Ojeda, R.A., 2001",11
"Townsend, W.R., 2001",11
"Wanchai, Stanford, Thirakhupt, and Thanhikorn, 2012",11
"Acharya, L., 1992",10
"Atramentowicz, M., 1992",10
"Brush, T., 1998",10
"Campos, C.M., Tognelli, M.F., Ojeda, R.A., 2001",10
"Clark Jr., G.A., 1964",10
"Cole, F.R., Wilson, D.E., 2010",10
"de Mello Beisiegel, B., Zuercher, G.L., 2005",10
"DeVogelaere et al., 2012",10
"Filippi, D., Waugh, S., Nicol, S., 2010",10
"Gombobaatar, S., Odkuu, B., Yosef, R., et al, 2010",10
"Harris, J.M., 2009a",10
"Jennings, M.R., Rathbun, G.B., 2001",10
"Leslie Jr., D.M., 2011",10
"Leslie, D.M., Schaller, G.B., 2009",10
"Lindsey, G.D.E., Vanderwerf, E.A., Baker, H., et al, 1998",10
"MacDonald, S.O., Jones, C., 1987",10
"Obst, F.J., 1986",10
"Ortega, J., Castro-Arellano, I., 2001",10
"Phillips, J.A., Millar, R.P., 1998",10
"Platt et al., 2012",10
"Streubel, D.P., Fitzgerald, J.P., 1978a",10
"Suryan, R.M., Irons, D.B., Brown, E.D., 2006",10
"Visser, G., Bijhold, S. and J. Van Der Koore, 2009",10
"Walker and Elliott, 1999",10
"Woodman, N., Diaz de Pascual, A., 2004",10
"Chitty and Raftery, 2013",9
"Conant, S., 1977",9
"Decher, J., Fahr, J., 2005",9
"Gibbons, J.W., Dorcas, M.E., 2004",9
"Gienger, C.M., Johnson, G.W., McMillan, M. et al., 2005",9
"Hayssen, V. 2011b",9
"Hedd, A., Bertram, D.F., Ryder, J.L., et al, 2006",9
"Herron, M.D., Waterman, J.M., 2004",9
"Jones, C., Manning, R.W., 1989",9
"Jones, J.K., Genoways, H.H., 1973",9
"Kemper et al., 2011",9
"Klima, J., Jehl, Jr., J.R., 1998",9
"Kunz, T.H., Jones, D.P., 2000",9
"Lariviere, S., 2003",9
"Linzey, D.W., Packard, R.L., 1977",9
"Marshall, L.G., 1978a",9
"Morais, 2013",9
"Palomo, L.J., Justo, E.R., Vargas, J.M., 2009",9
"Pennington, 2009",9
"Perrin, W., J. Bernd Wursig, and G. Thewissen, 2009",9
"Sanchez-Hernandez, C., Schnell, G.D., de Lourdes Romero-Almaraz, M., 2009",9
"Trujano-Alvarez, A.L., Alvarez-Castaneda, S.T., 2010",9
"Verdade, L.M., Zucoloto, R.B., and L.L. Coutinho, 2002",9
"Waterman, J.M., Herron, M.D., 2004",9
"Yensen, E., Tarifa, T., 2003 B",9
"Zarza, H., Ceballos, G., Steele, M.A., 2003",9
"Alvarez-Castaneda, S.T., 2001",8
"Alvarez-Castaneda, S.T., Cortes-Calva, P., 2003",8
"Archer, M.G., Taylor, R.C., 2009",8
"Aubret, F., Bonnet, X., Shine, R., and S. Maumelat, 2003",8
"Borges Costa, A.P. and P. Simoes-Lopes, 2012",8
"Calder, W.A. III, 1979",8
"Castro-Franco, R., Bustos-Zagal, M.G., and F.R. Mendez-De la Cruz, 2011",8
"Clark Jr., H.O., 2005",8
"Collar, Andreev, Chan et al. (Eds.), 2001",8
"Cortes-Calva, P., Alvarez-Castaneda, S.T., 2001",8
"Cuthbert, 2004",8
"Das, A., Das, A.K., Sarma, P.K., and A.K. Singh, 2011",8
"Dominguez-Castellanos, Y., Ortega, J., 2003",8
"Dragoo, J.W., Sheffield, S.R., 2009",8
"Duli, 2009",8
"Jones, C., 1977",8
"McGhee, M.E., Genoways, H.H., 1978",8
"Munshi-South and Wilkinson, 2010",8
"Pardinas, U.F.J., Gailliari, C.A., 2001",8
"Schlee, 1989",8
"Schmidly, D.J., 1974",8
"Schmidly, D.J., 2004",8
"Sulentich, J.M., Williams, L.R., Cameron, G.N., 1991",8
