Original Name,,,,,,Transformed Name,,
Acris, , , ,->, ,Echis, , 
Acalyptus,peronii, , ,->, ,Hydrophis,peronii, 
Acalyptus,superciliosus, , ,->, ,Hydrophis,peronii, 
Acanthocercus,adramitana, , ,->, ,Acanthocercus,adramitanus, 
Acanthocercus,annectans, , ,->, ,Acanthocercus,annectens, 
Acanthocercus,trachypleura, , ,->, ,Acanthocercus,phillipsii, 
Acanthocercus,trachypleurus, , ,->, ,Acanthocercus,phillipsii, 
Acanthocercus,zonurus, , ,->, ,Acanthocercus,atricollis,minutus
Acanthochelys,chacoensis, , ,->, ,Acanthochelys,macrocephala, 
Acanthochelys,pallidopectoris, , ,->, ,Acanthochelys,pallidipectoris, 
Acanthodactilus,scutellatus, , ,->, ,Acanthodactylus,scutellatus, 
Acanthodactylus,bedriagae, , ,->, ,Acanthodactylus,bedriagai, 
Acanthodactylus,belli, , ,->, ,Acanthodactylus,erythrurus, 
Acanthodactylus,blandfordi, , ,->, ,Acanthodactylus,blanfordii, 
Acanthodactylus,blandfordii, , ,->, ,Acanthodactylus,blanfordii, 
Acanthodactylus,dorsalis, , ,->, ,Acanthodactylus,tristrami, 
Acanthodactylus,dumerili, , ,->, ,Acanthodactylus,dumerilii, 
Acanthodactylus,fraseri, , ,->, ,Acanthodactylus,gongrorhynchatus, 
Acanthodactylus,inornata, , ,->, ,Acanthodactylus,scutellatus, 
Acanthodactylus,mechriguensis, , ,->, ,Acanthodactylus,maculatus, 
Acanthodactylus,mucronatus, , ,->, ,Pseuderemias,mucronata, 
Acanthodactylus,vaillanti, , ,->, ,Acanthodactylus,savignyi, 
Acanthodactylus,vulgaris, , ,->, ,Acanthodactylus,erythrurus, 
Acantholis,loysiana, , ,->, ,Anolis,loysiana, 
Acanthophallus,colubrinus, , ,->, ,Xenodon,rabdocephalus, 
Acanthophis,barnetti, , ,->, ,Acanthophis,laevis, 
Acanthophis,bottomi, , ,->, ,Acanthophis,rugosus, 
Acanthophis,brownii, , ,->, ,Acanthophis,antarcticus, 
Acanthophis,cerastinus, , ,->, ,Acanthophis,antarcticus, 
Acanthophis,crotalusei, , ,->, ,Acanthophis,laevis, 
Acanthophis,cummingi, , ,->, ,Acanthophis,hawkei, 
Acanthophis,groenveldi, , ,->, ,Acanthophis,laevis, 
Acanthophis,lancasteri, , ,->, ,Acanthophis,hawkei, 
Acanthophis,macgregori, , ,->, ,Acanthophis,laevis, 
Acanthophis,schistos, , ,->, ,Acanthophis,antarcticus, 
Acanthophis,tortor, , ,->, ,Pseudechis,porphyriacus, 
Acanthophis,wellsei, , ,->, ,Acanthophis,wellsi, 
Acanthophis,woolfi, , ,->, ,Acanthophis,rugosus, 
Acanthophis,yuwoni, , ,->, ,Acanthophis,laevis, 
Acanthosaura,braueri, , ,->, ,Acanthosaura,lepidogaster, 
Acanthosaura,fruhstorferi, , ,->, ,Acanthosaura,lepidogaster, 
Acanthosaura,gibbosus, , ,->, ,Moloch,horridus, 
Acanthosaura,hainanensis, , ,->, ,Acanthosaura,lepidogaster, 
Acanthosaura,horrescens, , ,->, ,Acanthosaura,crucigera, 
Acanthosaura,kakhienensis, , ,->, ,Pseudocalotes,kakhienensis, 
Acanthosaura,kumaonensis, , ,->, ,Japalura,kumaonensis, 
Acanthosaura,lamnidentata, , ,->, ,Acanthosaura,lepidogaster, 
Acanthosaura,lepidogastra, , ,->, ,Acanthosaura,lepidogaster, 
Acanthosaura,major, , ,->, ,Japalura,major, 
Acanthosaura,minor, , ,->, ,Oriocalotes,paulus, 
Acanthosaura,quinquicarinata, , ,->, ,Pseudocalotes,brevipes, 
Acanthosaura,schneideri, , ,->, ,Dendragama,boulengeri, 
Acanthosaura,tricarinata, , ,->, ,Japalura,tricarinata, 
Acanthosaura,varcoae, , ,->, ,Japalura,varcoae, 
Acanthrodactylus,boskianus, , ,->, ,Acanthodactylus,boskianus, 
Acanthrodactylus,cantoris, , ,->, ,Acanthodactylus,cantoris, 
Achalinopsis,jinggangensis, , ,->, ,Achalinus,jinggangensis, 
Achalinopsis,sauteri, , ,->, ,Achalinus,formosanus, 
Achalinus,braconnieri, , ,->, ,Achalinus,spinalis, 
Achalinus,meridianus, , ,->, ,Achalinus,rufescens, 
Acinixys,planicauda, , ,->, ,Pyxis,planicauda, 
Aclys,concinna, , ,->, ,Delma,concinna, 
Acontias,brevipes, , ,->, ,Acontias,breviceps, 
Acontias,burtonii, , ,->, ,Nessia,burtonii, 
Acontias,caecus, , ,->, ,Typhlosaurus,caecus, 
Acontias,didactylus, , ,->, ,Nessia,didactyla, 
Acontias,elegans, , ,->, ,Feylinia,elegans, 
Acontias,grayi, , ,->, ,Acontias,lineatus, 
Acontias,hildebrandti, , ,->, ,Paracontias,hildebrandti, 
Acontias,holomelas, , ,->, ,Paracontias,holomelas, 
Acontias,layardi, , ,->, ,Nessia,layardi, 
Acontias,leucostoma, , ,->, ,Agkistrodon,piscivorus, 
Acontias,monodactylus, , ,->, ,Nessia,monodactyla, 
Acontias,niger, , ,->, ,Acontias,plumbeus, 
Acontias,punctatus, , ,->, ,Afrotyphlops,punctatus, 
Acontias,rieppelli, , ,->, ,Acontias,rieppeli, 
Acontias,rubrocaudatus, , ,->, ,Voeltzkowia,rubrocaudata, 
Acontias,sarasinorum, , ,->, ,Nessia,sarasinorum, 
Acontias,smithi, , ,->, ,Nessia,bipes, 
Acontias,subcaecus, , ,->, ,Dibamus,novaeguineae, 
Acontiophis,paradoxa, , ,->, ,Lytorhynchus,paradoxus, 
Acontophiops,lineatus, , ,->, ,Acontias,lineatus, 
Acrantus,viridis, , ,->, ,Teius,oculatus, 
Acridophaga,uralensis, , ,->, ,Vipera,ursinii, 
Acritoscincus,duperreyi, , ,->, ,Bassiana,duperreyi, 
Acritoscincus,dupperyi, , ,->, ,Bassiana,duperreyi, 
Acritoscincus,platynota, , ,->, ,Bassiana,platynota, 
Acritoscincus,platynotum, , ,->, ,Bassiana,platynota, 
Acritoscincus,trilineatum, , ,->, ,Bassiana,trilineata, 
Acritoscincus,trilineatus, , ,->, ,Bassiana,trilineata, 
Acrochordus,fasciatus, , ,->, ,Acrochordus,granulatus, 
Acrochordus,javensis, , ,->, ,Acrochordus,javanicus, 
Acrophis,juliae, , ,->, ,Erythrolamprus,juliae, 
Actineyms,nigra, , ,->, ,Actinemys,marmorata, 
Acutotyphlops,kunuanensis, , ,->, ,Acutotyphlops,kunuaensis, 
Adelochelys,crassa, , ,->, ,Orlitia,borneensis, 
Adelphicos,latifasciatus, , ,->, ,Adelphicos,latifasciatum, 
Adelphicos,nigrilatus, , ,->, ,Adelphicos,nigrilatum, 
