"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Mysateles prehensilis","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","","","","",NA,"YES","YES","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Leaves, Wood, bark, or stems, Fruit","YES","","YES","","YES","","","","","","","",NA,"","","","","","","YES","","","YES",1650,NA,NA,NA,NA,NA,NA,NA,"mysateles_prehensilis"
"Mystacina robusta","Omnivore","","","","","",NA,"","","",NA,"YES","","","","","Birds, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","YES","","","","","","","","","YES","YES","","YES","","",NA,NA,NA,"","Fruit, Nectar, Pollen, Flowers","","","","","YES","YES","YES","YES","","","","",NA,"","","","","","","YES","","YES","",30,NA,NA,NA,NA,NA,NA,NA,"mystacina_robusta"
"Mystacina tuberculata","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","YES","","","",23.5,NA,NA,NA,NA,NA,NA,NA,"mystacina_tuberculata"
"Mystromys albicaudatus","Omnivore","","","","","",NA,"","","",NA,"YES","","","","","Mammals, Insects","","YES","","","","","","","","YES","","","","","",NA,NA,NA,"","Seeds, grains, and nuts","","","","YES","","","","","","","","",NA,"","","","","","","YES","","","",87,NA,NA,NA,NA,NA,NA,NA,"mystromys_albicaudatus"
"Mytilus californianus","Planktivore","","","","","",NA,"","","",NA,"","YES","","","","Zooplankton","","","","","","","","","","","","","","","",NA,NA,NA,"YES","Algae, Phytoplankton","","","","","","","","","","","","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"mytilus_californianus"
"Mytilus edulis","Planktivore, Detritivore","","","","","",NA,"","","",NA,"","YES","","YES","","Eggs, Zooplankton","","","","","","YES","","","","","","","","","",NA,NA,NA,"YES","Algae, Phytoplankton","","","","","","","","","","","","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","",3.95,NA,NA,NA,NA,NA,NA,NA,"mytilus_edulis"
"Myzopoda aurita","Carnivore, Carnivore: Insectivore","YES","","","YES","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","YES","","","",9,NA,NA,NA,NA,NA,NA,NA,"myzopoda_aurita"
"Naemorhedus baileyi","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"naemorhedus_baileyi"
"Naemorhedus caudatus","Herbivore, Herbivore: Folivore","","","","","",NA,"YES","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Leaves, Seeds, grains, and nuts, Fruit, Lichens","YES","","","YES","YES","","","","","","YES","",NA,"","","","","","","YES","","","YES",27000,NA,NA,NA,NA,NA,NA,NA,"naemorhedus_caudatus"
"Naemorhedus goral","Herbivore, Herbivore: Folivore","","","","","",NA,"YES","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Flowers, Bryophytes, Lichens","YES","YES","YES","YES","","","","YES","","YES","YES","",NA,"","Fungus","YES","","","","YES","","","YES",27500,NA,NA,NA,NA,NA,NA,NA,"naemorhedus_goral"
"Naemorhedus griseus","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"naemorhedus_griseus"
"Naja naja","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"naja_naja"
"Nandinia binotata","Omnivore","","","","","",NA,"","","",NA,"YES","","","","","Birds, Mammals, Reptiles, Eggs, Carrion, Insects","YES","YES","","YES","","YES","","","YES","YES","","","","","",NA,NA,NA,"","Fruit","","","","","YES","","","","","","","",NA,"","","","","","","YES","","","YES",3250,NA,NA,NA,NA,NA,NA,NA,"nandinia_binotata"
"Nanger dama","Herbivore, Herbivore: Folivore","","","","","",NA,"YES","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Leaves","YES","","","","","","","","","","","",NA,"","","","","","","YES","","","YES",55000,NA,NA,NA,NA,NA,NA,NA,"nanger_dama"
"Nanger granti","Herbivore, Herbivore: Folivore","","","","","",NA,"YES","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Leaves, Wood, bark, or stems","YES","","YES","","","","","","","","","",NA,"","","","","","","YES","","","YES",55000,NA,NA,NA,NA,NA,NA,NA,"nanger_granti"
"Nanger soemmerringii","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nanger_soemmerringii"
"Nannosciurus melanotis","","","","","","",NA,"","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nannosciurus_melanotis"
"Nannostomus trifasciatus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Omnivore, Detritivore","YES","","","YES","",NA,"","","",NA,"YES","","","YES","","","","","","","","","","","","","","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nannostomus_trifasciatus"
"Nanonycteris veldkmapii","Herbivore, Herbivore: Nectarivore","","","","","",NA,"YES","","",NA,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,"","Fruit, Nectar","","","","","YES","YES","","","","","","",NA,"","","","","","","YES","","","YES",26,NA,NA,NA,NA,NA,NA,NA,"nanonycteris_veldkmapii"
"Napaeozapus insignis","Omnivore","","","","","",NA,"","","",NA,"YES","","","","","Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","","","","","YES","YES","","YES","","",NA,NA,NA,"","Leaves, Roots and tubers, Seeds, grains, and nuts, Fruit, Bryophytes","YES","YES","","YES","YES","","","","","YES","","",NA,"","Fungus","YES","","","","YES","","","YES",26,NA,NA,NA,NA,NA,NA,NA,"napaeozapus_insignis"
"Narceus americanus","Mycophage, Detritivore, Coprophage","","","","","","","","","","","","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Algae","YES","YES","YES","","","","","","","","","YES","","","Fungus, Detritus, Dung, Microbes","YES","YES","YES","YES","","YES","","",2.5,NA,NA,NA,NA,NA,NA,NA,"narceus_americanus"
"Nasalis larvatus","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","","","","","Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","","","","","","","","","","","","YES","","","YES",14500,NA,NA,NA,NA,NA,NA,NA,"nasalis_larvatus"
"Nassarius vibex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"nassarius_vibex"
"Nasua narica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",4000,NA,NA,NA,NA,NA,NA,NA,"nasua_narica"
"Nasua nasua","Omnivore","","","","","","","","","","","YES","","","","","Birds, Mammals, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","","YES","","YES","","","YES","YES","YES","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","","","","","","","","","","","","YES","","","",4500,NA,NA,NA,NA,NA,NA,NA,"nasua_nasua"
"Nasuella olivacea","Omnivore","","","","","","","","","","","YES","","","","","Mammals, Amphibians, Reptiles, Insects, Terrestrial Non-insect Arthropods","","YES","YES","YES","","","","","","YES","YES","","","","","","","","","Fruit","","","","","YES","","","","","","","","","","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"nasuella_olivacea"
"Natalus stramineus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Insects","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES",4,NA,NA,NA,NA,NA,NA,NA,"natalus_stramineus"
"Natalus tumidirostris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"natalus_tumidirostris"
"Natator depressus","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Eats other marine invertebrates","YES","","","","YES","YES","","","","","","","","","","Mollusks, Aquatic Crustaceans, Echinoderms, Cnidarians","","","","","","","","","","","","YES","","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","YES","","",70000,NA,NA,NA,NA,NA,NA,NA,"natator_depressus"
"Nautilus pompilius","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"nautilus_pompilius"
"Neacomys guianae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neacomys_guianae"
"Neacomys pictus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neacomys_pictus"
"Neacomys spinosus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neacomys_spinosus"
"Neacomys tenuipes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neacomys_tenuipes"
"Neamblysomus gunningi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neamblysomus_gunningi"
"Neamblysomus julianae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,22,NA,NA,NA,NA,NA,NA,"neamblysomus_julianae"
"Necator americanus","Carnivore, Carnivore: Sanguivore, Carnivore: Eats body fluids","YES","","YES","","","","","","","","","","","","","Blood, Body fluids","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"necator_americanus"
"Necromys amoenus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_amoenus"
"Necromys lactens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_lactens"
"Necromys lasiurus","Herbivore, Herbivore: Granivore","","","","","","","YES","","","","","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","","","","","","","","","","","","YES","","","YES",35,NA,NA,NA,NA,NA,NA,NA,"necromys_lasiurus"
"Necromys obscurus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_obscurus"
"Necromys punctulatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_punctulatus"
"Necromys temchuki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_temchuki"
"Necromys urichi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"necromys_urichi"
"Nectogale elegans","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","YES","","YES","","","","","","","","","","","","Fish, Insects, Terrestrial Non-insect Arthropods","","","","","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES",35,NA,NA,NA,NA,NA,NA,NA,"nectogale_elegans"
"Nectomys palmipes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nectomys_palmipes"
"Nectomys rattus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nectomys_rattus"
"Nectomys squamipes","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Omnivore","YES","YES","","YES","","","YES","YES","","","YES","","","","","Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Aquatic Crustaceans, Other Marine Invertebrates","","","YES","","YES","","","","","YES","YES","","","","YES","","","YES","","Leaves, Fruit","YES","","","","YES","","","","","","","","","","","","","","","YES","","","YES",216,NA,NA,NA,NA,NA,NA,NA,"nectomys_squamipes"
"Necturus lewisi","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","","","","","Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","YES","","YES","","","","","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"necturus_lewisi"
"Necturus maculosus","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","","","","","Amphibians, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","YES","","YES","YES","","","YES","YES","YES","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"necturus_maculosus"
"Necturus punctatus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","","","","","Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","YES","","YES","","","","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"necturus_punctatus"
"Negaprion brevirostris","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","YES","","","YES","","","","","","","","","","","Fish, Mollusks, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","",183700,NA,NA,NA,NA,NA,NA,NA,"negaprion_brevirostris"
"Nelsonia neotomodon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nelsonia_neotomodon"
"Nematobrycon palmeri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"nematobrycon_palmeri"
"Nematostella vectensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",17.5,NA,NA,NA,NA,NA,NA,NA,"nematostella_vectensis"
"Neoceratodus forsteri","Omnivore","","","","","","","","","","","YES","","","","","Amphibians, Fish, Insects, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","YES","","YES","","","","","YES","","YES","YES","","YES","","","","","Flowers, Bryophytes","","","","","","","","YES","","YES","","","","","","","","","","","YES","","",48000,NA,NA,NA,NA,NA,NA,NA,"neoceratodus_forsteri"
"Neochmia ruficauda","Omnivore","","","","","","","","","","","YES","","","","","Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","","","","","","","","","","","","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neochmia_ruficauda"
"Neoclinus blanchardi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoclinus_blanchardi"
"Neodon juldaschi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neodon_juldaschi"
"Neodon sikimensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neodon_sikimensis"
"Neofelis diardi","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","","","","","","","","","","","","","","","Birds, Mammals, Fish","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",22500,NA,NA,NA,NA,NA,NA,NA,"neofelis_diardi"
"Neofelis nebulosa","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES","","","","","","","","","","","","","","Birds, Mammals, Fish","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES",20000,NA,NA,NA,NA,NA,NA,NA,"neofelis_nebulosa"
"Neofiber alleni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neofiber_alleni"
"Neogobius melanostomus","Carnivore, Carnivore: Insectivore, Carnivore: Molluscivore","YES","","","YES","YES","","","","","","","","","","","Fish, Eggs, Insects, Mollusks, Aquatic Crustaceans","","","","","YES","YES","","","","YES","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"neogobius_melanostomus"
"Neohylomys hainanensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neohylomys_hainanensis"
"Neomys anomalus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neomys_anomalus"
"Neomys fodiens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",15,NA,NA,NA,NA,NA,NA,NA,"neomys_fodiens"
"Neomys teres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neomys_teres"
"Neonycteris pusilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neonycteris_pusilla"
"Neonympha mitchellii","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leaves, Nectar","YES","","","","","YES","","","","","","","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"neonympha_mitchellii"
"Neophascogale lorentzi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neophascogale_lorentzi"
"Neophoca cinerea","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore, Carnivore: Molluscivore","YES","YES","","","YES","","","","","","","","","","","Birds, Fish, Mollusks","YES","","","","YES","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES",202500,NA,NA,NA,NA,NA,NA,NA,"neophoca_cinerea"
"Neophocaena phocaenoides","Carnivore, Carnivore: Piscivore","YES","YES","","","","","","","","","","","","","","Fish, Mollusks, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",37500,NA,NA,NA,NA,NA,NA,NA,"neophocaena_phocaenoides"
"Neophron percnopterus","Carnivore, Carnivore: Scavenger","YES","","","","","","","","","","","","","","","Birds, Mammals, Reptiles, Eggs, Carrion, Insects, Mollusks, Aquatic Crustaceans","YES","YES","","YES","","YES","","","YES","YES","","YES","","","YES","","","","","","","","","","","","","","","","","","","","Dung","","","YES","","YES","","","YES",1889,NA,NA,NA,NA,NA,NA,NA,"neophron_percnopterus"
"Neopsephotus bourkii","Herbivore, Herbivore: Granivore","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","","","","","","","","","","","","YES","","","",45.5,NA,NA,NA,NA,NA,NA,NA,"neopsephotus_bourkii"
"Neopteryx frosti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neopteryx_frosti"
"Neoromicia brunneus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_brunneus"
"Neoromicia capensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_capensis"
"Neoromicia flavescens","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_flavescens"
"Neoromicia guineensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_guineensis"
"Neoromicia helios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_helios"
"Neoromicia melckorum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_melckorum"
"Neoromicia nanus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_nanus"
"Neoromicia rendalli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_rendalli"
"Neoromicia somalicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_somalicus"
"Neoromicia tenuipinnis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_tenuipinnis"
"Neoromicia zuluensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neoromicia_zuluensis"
"Neotetracus sinensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotetracus_sinensis"
"Neotoma albigula","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Granivore, Herbivore: Lignivore","","","","","","","YES","YES","YES","","","","","","","Mammals, Reptiles, Insects","","YES","","YES","","","","","","YES","","","","","","","","","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","","YES","YES","YES","","","YES","","","","","","","","","","","","YES","","","YES",197,NA,NA,NA,NA,NA,NA,NA,"neotoma_albigula"
"Neotoma angustapalata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_angustapalata"
"Neotoma anthonyi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_anthonyi"
"Neotoma bryanti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_bryanti"
"Neotoma bunkeri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_bunkeri"
"Neotoma chrysomelas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_chrysomelas"
"Neotoma cinerea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","",335.5,NA,NA,NA,NA,NA,NA,NA,"neotoma_cinerea"
"Neotoma devia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"neotoma_devia"
