"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Atypus affinis","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","",NA,"","","","","","Insects","","","","","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"atypus_affinis"
"Aulacorhynchus prasinus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",154.5,NA,NA,NA,NA,NA,NA,NA,"aulacorhynchus_prasinus"
"Auliscomys boliviensis","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"auliscomys_boliviensis"
"Auliscomys pictus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"auliscomys_pictus"
"Auliscomys sublimis","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"auliscomys_sublimis"
"Aurelia aurita","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"aurelia_aurita"
"Aurelia labiata","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","","","","","","","","",NA,"","YES","","","","Eggs, Mollusks, Aquatic Crustaceans, Cnidarians, Zooplankton","","","","","","YES",NA,"","","","","YES","","","YES","","YES","","YES","Phytoplankton","","","","","","","","","","",NA,"","","YES","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"aurelia_labiata"
"Auriparus flaviceps","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","",NA,"","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","Seeds, grains, and nuts, Fruit, Nectar","","","","YES","YES","YES","","","","",NA,"","","","","","","","","YES","","","",7,NA,NA,NA,NA,NA,NA,NA,"auriparus_flaviceps"
"Automeris io","Herbivore, Herbivore: Folivore","","","","","","","YES","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves","YES","","","","","","","","","",NA,"","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"automeris_io"
"Avahi laniger","Herbivore, Herbivore: Folivore","","","","","","","YES","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","","",NA,"","","","","","","","","YES","","","",950,NA,NA,NA,NA,NA,NA,NA,"avahi_laniger"
"Avahi occidentalis","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"avahi_occidentalis"
"Aviceda madagascariensis","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","","","YES","","","","","",NA,"","","","","","Mammals, Amphibians, Reptiles, Insects","","YES","YES","YES","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"aviceda_madagascariensis"
"Axis axis","Herbivore, Herbivore: Folivore","","","","","","","YES","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Wood, bark, or stems, Fruit","YES","","YES","","YES","","","","","",NA,"","","","","","","","","YES","","","YES",36000,NA,NA,NA,NA,NA,NA,NA,"axis_axis"
"Axis calamianensis","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"axis_calamianensis"
"Axis kuhlii","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"axis_kuhlii"
"Axis porcinus","Herbivore, Herbivore: Folivore","","","","","","","YES","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","","",NA,"","","","","","","","","YES","","","",43000,NA,NA,NA,NA,NA,NA,NA,"axis_porcinus"
"Aythya affinis","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","","","YES","YES","","","","",NA,"","","","","","Fish, Eggs, Insects, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","","","YES","YES",NA,"","","YES","","YES","YES","","YES","","","","","Seeds, grains, and nuts","","","","YES","","","","","","",NA,"","","","","","","","","YES","","","YES",900,NA,NA,NA,NA,NA,NA,NA,"aythya_affinis"
"Aythya americana","Omnivore","","","","","","","","","",NA,"YES","","","","","Insects, Mollusks","","","","","","",NA,"","","YES","","YES","","","","","","","","Leaves, Algae","YES","","","","","","","","","",NA,"YES","","","","","","","","YES","","","",1065,NA,NA,NA,NA,NA,NA,NA,"aythya_americana"
"Aythya collaris","Herbivore, Herbivore: Folivore","","","","","","","YES","","",NA,"","","","","","Insects, Mollusks, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","","",NA,"","","YES","","YES","YES","YES","YES","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts","YES","YES","","YES","","","","","","",NA,"","","","","","","","","YES","","","YES",700,NA,NA,NA,NA,NA,NA,NA,"aythya_collaris"
"Aythya fuligula","Omnivore","","","","","","","","","",NA,"YES","","","","","Amphibians, Fish, Insects, Mollusks","","","YES","","YES","",NA,"","","YES","","YES","","","","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts, Bryophytes","YES","YES","","YES","","","","","","YES",NA,"","","","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"aythya_fuligula"
"Aythya valisineria","Omnivore","","","","","","","","","",NA,"YES","","","","","Insects, Mollusks","","","","","","",NA,"","","YES","","YES","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","YES","YES","YES","YES","","","","","","",NA,"","","","","","","","","YES","","","YES",1226,NA,NA,NA,NA,NA,NA,NA,"aythya_valisineria"
"Babyrousa babyrussa","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",71500,NA,NA,NA,NA,NA,NA,NA,"babyrousa_babyrussa"
"Baiomys musculus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"baiomys_musculus"
"Baiomys taylori","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"baiomys_taylori"
"Balaena mysticetus","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","","","","","","","","",NA,"","YES","","","","Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","","","","","","YES","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",87500000,NA,NA,NA,NA,NA,NA,NA,"balaena_mysticetus"
"Balaeniceps rex","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES","","","","","","","",NA,"","","","","","Amphibians, Reptiles, Fish, Carrion, Mollusks","","","YES","YES","YES","",NA,"","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"balaeniceps_rex"
"Balaenoptera acutorostrata","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","",NA,"","","","","","Fish, Mollusks, Aquatic Crustaceans","","","","","YES","",NA,"","","","","YES","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",7500000,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_acutorostrata"
"Balaenoptera bonaerensis","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","","","","","","","","",NA,"","YES","","","","Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","","","","","","YES","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_bonaerensis"
"Balaenoptera borealis","Planktivore","","","","","","","","","",NA,"","YES","","","","Fish, Zooplankton","","","","","YES","",NA,"","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",20000000,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_borealis"
"Balaenoptera edeni","Carnivore, Carnivore: Piscivore, Planktivore","YES","YES","","","","","","","",NA,"","YES","","","","Fish, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","",NA,"","","","","YES","","","YES","","","YES","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",14300000,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_edeni"
"Balaenoptera musculus","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","",NA,"","","","","","Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","","","","","","YES","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",190000000,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_musculus"
"Balaenoptera physalus","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates, Planktivore","YES","YES","","","","YES","","","",NA,"","YES","","","","Fish, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","",NA,"","","","","","","","YES","","","YES","YES","Phytoplankton","","","","","","","","","","",NA,"","","YES","","","","","","YES","","","YES",70000000,NA,NA,NA,NA,NA,NA,NA,"balaenoptera_physalus"
"Balantiopteryx infusca","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"balantiopteryx_infusca"
"Balantiopteryx io","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"balantiopteryx_io"
"Balantiopteryx plicata","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"balantiopteryx_plicata"
"Balearica regulorum","Omnivore","","","","","","","","","",NA,"YES","","","","","Reptiles, Insects, Terrestrial Worms","","","","YES","","",NA,"","","YES","","","YES","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","","",NA,"","","","","","","","","YES","","","YES",3500,NA,NA,NA,NA,NA,NA,NA,"balearica_regulorum"
"Balionycteris maculata","Herbivore, Herbivore: Frugivore","","","","","","","YES","YES","",NA,"","","","","","Insects","","","","","","",NA,"","","YES","","","","","","","","","","Fruit, Nectar, Flowers","","","","","YES","YES","","YES","","",NA,"","","","","","","","","YES","","","YES",12,NA,NA,NA,NA,NA,NA,NA,"balionycteris_maculata"
"Bandicota bengalensis","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"bandicota_bengalensis"
"Bandicota indica","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"bandicota_indica"
"Bandicota savilei","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"bandicota_savilei"
"Barbastella barbastellus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",8,NA,NA,NA,NA,NA,NA,NA,"barbastella_barbastellus"
"Barbastella leucomelas","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"barbastella_leucomelas"
"Bartholomea annulata","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","","","","","","","","",NA,"","YES","","","","Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","","","","","","YES","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"bartholomea_annulata"
"Basileuterus rufifrons","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",15,NA,NA,NA,NA,NA,NA,NA,"basileuterus_rufifrons"
"Basiliscus basiliscus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Omnivore","YES","YES","","YES","","","YES","YES","",NA,"YES","","","","","Birds, Mammals, Amphibians, Reptiles, Fish, Insects, Terrestrial Non-insect Arthropods, Aquatic Crustaceans","YES","YES","YES","YES","YES","",NA,"","","YES","YES","","","","YES","","","","","Fruit, Flowers","","","","","YES","","","YES","","",NA,"","","","","","","","","","","YES","",350,NA,NA,NA,NA,NA,NA,NA,"basiliscus_basiliscus"
"Basiliscus vittatus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","",NA,"","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","Fruit","","","","","YES","","","","","",NA,"","","","","","","","","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"basiliscus_vittatus"
"Bassaricyon alleni","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"bassaricyon_alleni"
"Bassaricyon beddardi","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"bassaricyon_beddardi"
