"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
9740253,"Accipiter striatus Vieillot, 1808","species","ACCEPTED","EXACT","Accipiter striatus",98,"Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus",1,44,212,7191147,2877,9405810,9740253,FALSE,"Aves",NA,NA
5218703,"Acerodon jubatus (Eschscholtz, 1831)","species","ACCEPTED","EXACT","Acerodon jubatus",98,"Animalia","Chordata","Chiroptera","Pteropodidae","Acerodon","Acerodon jubatus",1,44,359,734,9367,5218701,5218703,FALSE,"Mammalia",NA,NA
2295966,"Achatina fulica (Férussac, 1821)","species","ACCEPTED","EXACT","Achatina fulica",97,"Animalia","Mollusca","Stylommatophora","Achatinidae","Achatina","Achatina fulica",1,52,225,1456,2630,2295965,2295966,FALSE,"Gastropoda",NA,NA
5782912,"Achatinella mustelina Mighels, 1845","species","ACCEPTED","EXACT","Achatinella mustelina",98,"Animalia","Mollusca","Stylommatophora","Achatinellidae","Achatinella","Achatinella mustelina",1,52,225,1456,9466,7409048,5782912,FALSE,"Gastropoda",NA,NA
2435270,"Acinonyx jubatus (Schreber, 1775)","species","ACCEPTED","EXACT","Acinonyx jubatus",98,"Animalia","Chordata","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",1,44,359,732,9703,2435269,2435270,FALSE,"Mammalia",NA,NA
2402120,"Acipenser fulvescens Rafinesque, 1817","species","ACCEPTED","EXACT","Acipenser fulvescens",98,"Animalia","Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens",1,44,204,1103,2947,2340025,2402120,FALSE,"Actinopterygii",NA,NA
2402122,"Acipenser transmontanus Richardson, 1836","species","ACCEPTED","EXACT","Acipenser transmontanus",98,"Animalia","Chordata","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus",1,44,204,1103,2947,2340025,2402122,FALSE,"Actinopterygii",NA,NA
9800308,"Acomys cahirinus (É.Geoffroy, 1803)","species","ACCEPTED","EXACT","Acomys cahirinus",97,"Animalia","Chordata","Rodentia","Muridae","Acomys","Acomys cahirinus",1,44,359,1459,5510,2438252,9800308,FALSE,"Mammalia",NA,NA
2438257,"Acomys russatus (Wagner, 1840)","species","ACCEPTED","EXACT","Acomys russatus",98,"Animalia","Chordata","Rodentia","Muridae","Acomys","Acomys russatus",1,44,359,1459,5510,2438252,2438257,FALSE,"Mammalia",NA,NA
2439653,"Aconaemys fuscus (Waterhouse, 1842)","species","ACCEPTED","EXACT","Aconaemys fuscus",98,"Animalia","Chordata","Rodentia","Octodontidae","Aconaemys","Aconaemys fuscus",1,44,359,1459,9448,2439652,2439653,FALSE,"Mammalia",NA,NA
