"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
5227236,"Cordylus cataphractus Boie, 1828","species","SYNONYM","EXACT","Cordylus cataphractus",98,"Animalia","Chordata","Squamata","Cordylidae","Ouroborus","Ouroborus cataphractus",1,44,358,715,6173,7965797,7536957,TRUE,"Reptilia",7536957,NA
2351092,"Coregonus artedi Lesueur, 1818","species","ACCEPTED","EXACT","Coregonus artedi",98,"Animalia","Chordata","Salmoniformes","Salmonidae","Coregonus","Coregonus artedi",1,44,204,1313,8615,2350934,2351092,FALSE,"Actinopterygii",NA,NA
2351119,"Coregonus clupeaformis (Mitchill, 1818)","species","ACCEPTED","EXACT","Coregonus clupeaformis",98,"Animalia","Chordata","Salmoniformes","Salmonidae","Coregonus","Coregonus clupeaformis",1,44,204,1313,8615,2350934,2351119,FALSE,"Actinopterygii",NA,NA
2351195,"Coregonus hoyi (Milner, 1874)","species","ACCEPTED","EXACT","Coregonus hoyi",97,"Animalia","Chordata","Salmoniformes","Salmonidae","Coregonus","Coregonus hoyi",1,44,204,1313,8615,2350934,2351195,FALSE,"Actinopterygii",NA,NA
2351112,"Coregonus kiyi (Koelz, 1921)","species","ACCEPTED","EXACT","Coregonus kiyi",98,"Animalia","Chordata","Salmoniformes","Salmonidae","Coregonus","Coregonus kiyi",1,44,204,1313,8615,2350934,2351112,FALSE,"Actinopterygii",NA,NA
2350935,"Coregonus zenithicus (Jordan & Evermann, 1909)","species","ACCEPTED","EXACT","Coregonus zenithicus",98,"Animalia","Chordata","Salmoniformes","Salmonidae","Coregonus","Coregonus zenithicus",1,44,204,1313,8615,2350934,2350935,FALSE,"Actinopterygii",NA,NA
5209766,"Coris aygula Lacepède, 1801","species","ACCEPTED","EXACT","Coris aygula",98,"Animalia","Chordata","Perciformes","Labridae","Coris","Coris aygula",1,44,204,587,8535,2384561,5209766,FALSE,"Actinopterygii",NA,NA
2482507,"Corvus brachyrhynchos C.L.Brehm, 1822","species","ACCEPTED","EXACT","Corvus brachyrhynchos",98,"Animalia","Chordata","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos",1,44,212,729,5235,2482468,2482507,FALSE,"Aves",NA,NA
2482523,"Corvus caurinus S.F.Baird, 1858","species","ACCEPTED","EXACT","Corvus caurinus",98,"Animalia","Chordata","Passeriformes","Corvidae","Corvus","Corvus caurinus",1,44,212,729,5235,2482468,2482523,FALSE,"Aves",NA,NA
2482492,"Corvus corax Linnaeus, 1758","species","ACCEPTED","EXACT","Corvus corax",98,"Animalia","Chordata","Passeriformes","Corvidae","Corvus","Corvus corax",1,44,212,729,5235,2482468,2482492,FALSE,"Aves",NA,NA
2482513,"Corvus frugilegus Linnaeus, 1758","species","ACCEPTED","EXACT","Corvus frugilegus",98,"Animalia","Chordata","Passeriformes","Corvidae","Corvus","Corvus frugilegus",1,44,212,729,5235,2482468,2482513,FALSE,"Aves",NA,NA
1729944,"Corydalus cornutus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Corydalus cornutus",98,"Animalia","Arthropoda","Megaloptera","Corydalidae","Corydalus","Corydalus cornutus",1,54,216,1451,5461,1729931,1729944,FALSE,"Insecta",NA,NA
2260687,"Corynactis californica Carlgren, 1936","species","ACCEPTED","EXACT","Corynactis californica",98,"Animalia","Cnidaria","Corallimorpharia","Corallimorphidae","Corynactis","Corynactis californica",1,43,206,1242,8181,2256373,2260687,FALSE,"Anthozoa",NA,NA
2432491,"Corynorhinus rafinesquii (Lesson, 1827)","species","ACCEPTED","EXACT","Corynorhinus rafinesquii",98,"Animalia","Chordata","Chiroptera","Vespertilionidae","Corynorhinus","Corynorhinus rafinesquii",1,44,359,734,9368,2432583,2432491,FALSE,"Mammalia",NA,NA
2432479,"Corynorhinus townsendii (Cooper, 1837)","species","ACCEPTED","EXACT","Corynorhinus townsendii",98,"Animalia","Chordata","Chiroptera","Vespertilionidae","Corynorhinus","Corynorhinus townsendii",1,44,359,734,9368,2432583,2432479,FALSE,"Mammalia",NA,NA
2381939,"Coryphaena hippurus Linnaeus, 1758","species","ACCEPTED","EXACT","Coryphaena hippurus",98,"Animalia","Chordata","Perciformes","Coryphaenidae","Coryphaena","Coryphaena hippurus",1,44,204,587,4262,2369535,2381939,FALSE,"Actinopterygii",NA,NA
2292289,"Coryphella lineata (Lovén, 1846)","species","SYNONYM","EXACT","Coryphella lineata",98,"Animalia","Mollusca","Nudibranchia","Coryphellidae","Fjordia","Fjordia lineata",1,52,225,980,4304703,9385590,9579326,TRUE,"Gastropoda",9579326,NA
5875107,"Cotalpa lanigera (Linnaeus, 1758)","species","ACCEPTED","EXACT","Cotalpa lanigera",98,"Animalia","Arthropoda","Coleoptera","Rutelidae","Cotalpa","Cotalpa lanigera",1,54,216,1470,4425773,4759476,5875107,FALSE,"Insecta",NA,NA
1257783,"Cotesia marginiventris (Cresson, 1865)","species","ACCEPTED","EXACT","Cotesia marginiventris",98,"Animalia","Arthropoda","Hymenoptera","Braconidae","Cotesia","Cotesia marginiventris",1,54,216,1457,6910,1257602,1257783,FALSE,"Insecta",NA,NA
2334131,"Cottus bairdii Girard, 1850","species","ACCEPTED","EXACT","Cottus bairdii",98,"Animalia","Chordata","Scorpaeniformes","Cottidae","Cottus","Cottus bairdii",1,44,204,590,8621,2334066,2334131,FALSE,"Actinopterygii",NA,NA
2334072,"Cottus carolinae (Gill, 1861)","species","ACCEPTED","EXACT","Cottus carolinae",98,"Animalia","Chordata","Scorpaeniformes","Cottidae","Cottus","Cottus carolinae",1,44,204,590,8621,2334066,2334072,FALSE,"Actinopterygii",NA,NA
5228183,"Coturnicops noveboracensis (Gmelin, 1789)","species","ACCEPTED","EXACT","Coturnicops noveboracensis",98,"Animalia","Chordata","Gruiformes","Rallidae","Coturnicops","Coturnicops noveboracensis",1,44,212,1493,9342,5429281,5228183,FALSE,"Aves",NA,NA
2474138,"Coturnix adansonii J.Verreaux & E.Verreaux, 1851","species","ACCEPTED","EXACT","Coturnix adansonii",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix adansonii",1,44,212,723,9331,2474126,2474138,FALSE,"Aves",NA,NA
2474128,"Coturnix chinensis (Linnaeus, 1766)","species","ACCEPTED","EXACT","Coturnix chinensis",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix chinensis",1,44,212,723,9331,2474126,2474128,FALSE,"Aves",NA,NA
2474163,"Coturnix coromandelica (Gmelin, 1789)","species","ACCEPTED","EXACT","Coturnix coromandelica",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix coromandelica",1,44,212,723,9331,2474126,2474163,FALSE,"Aves",NA,NA
2474156,"Coturnix coturnix (Linnaeus, 1758)","species","ACCEPTED","EXACT","Coturnix coturnix",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix coturnix",1,44,212,723,9331,2474126,2474156,FALSE,"Aves",NA,NA
2474141,"Coturnix delegorguei Delegorgue, 1847","species","ACCEPTED","EXACT","Coturnix delegorguei",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix delegorguei",1,44,212,723,9331,2474126,2474141,FALSE,"Aves",NA,NA
2474162,"Coturnix japonica Temminck & Schlegel, 1849","species","ACCEPTED","EXACT","Coturnix japonica",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix japonica",1,44,212,723,9331,2474126,2474162,FALSE,"Aves",NA,NA
2474139,"Coturnix novaezelandiae Quoy & Gaimard, 1830","species","ACCEPTED","EXACT","Coturnix novaezelandiae",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix novaezelandiae",1,44,212,723,9331,2474126,2474139,FALSE,"Aves",NA,NA
2474127,"Coturnix pectoralis Gould, 1837","species","ACCEPTED","EXACT","Coturnix pectoralis",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix pectoralis",1,44,212,723,9331,2474126,2474127,FALSE,"Aves",NA,NA
2474145,"Coturnix ypsilophora Bosc, 1792","species","ACCEPTED","EXACT","Coturnix ypsilophora",98,"Animalia","Chordata","Galliformes","Phasianidae","Coturnix","Coturnix ypsilophora",1,44,212,723,9331,2474126,2474145,FALSE,"Aves",NA,NA
2503584,"Cotylurus flabelliformis (Faust, 1917)","species","ACCEPTED","EXACT","Cotylurus flabelliformis",98,"Animalia","Platyhelminthes","Diplostomida","Strigeidae","Cotylurus","Cotylurus flabelliformis",1,108,345,7393567,3152,2503583,2503584,FALSE,"Trematoda",NA,NA
2360898,"Couesius plumbeus (Agassiz, 1850)","species","ACCEPTED","EXACT","Couesius plumbeus",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Couesius","Couesius plumbeus",1,44,204,1153,7336,2361083,2360898,FALSE,"Actinopterygii",NA,NA
2433358,"Craseonycteris thonglongyai Hill, 1974","species","ACCEPTED","EXACT","Craseonycteris thonglongyai",98,"Animalia","Chordata","Chiroptera","Craseonycteridae","Craseonycteris","Craseonycteris thonglongyai",1,44,359,734,9363,2433357,2433358,FALSE,"Mammalia",NA,NA
2266729,"Craspedacusta sowerbyi Lankester, 1880","species","SYNONYM","EXACT","Craspedacusta sowerbyi",98,"Animalia","Cnidaria","Limnomedusae","Olindiidae","Craspedacusta","Craspedacusta sowerbii",1,43,205,1435,3251275,2266722,4408321,TRUE,"Hydrozoa",4408321,NA
2286079,"Crassostrea virginica (Gmelin, 1791)","species","ACCEPTED","EXACT","Crassostrea virginica",98,"Animalia","Mollusca","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",1,52,137,9485611,6871,2286068,2286079,FALSE,"Bivalvia",NA,NA
2438816,"Crateromys schadenbergi (Meyer, 1895)","species","ACCEPTED","EXACT","Crateromys schadenbergi",98,"Animalia","Chordata","Rodentia","Muridae","Crateromys","Crateromys schadenbergi",1,44,359,1459,5510,2438815,2438816,FALSE,"Mammalia",NA,NA
7261626,"Cratogeomys castanops (Baird, 1852)","species","ACCEPTED","EXACT","Cratogeomys castanops",98,"Animalia","Chordata","Rodentia","Geomyidae","Cratogeomys","Cratogeomys castanops",1,44,359,1459,9437,7261365,7261626,FALSE,"Mammalia",NA,NA
4264595,"Cratogeomys neglectus (Merriam, 1902)","species","SYNONYM","EXACT","Cratogeomys neglectus",98,"Animalia","Chordata","Rodentia","Geomyidae","Cratogeomys","Cratogeomys fumosus",1,44,359,1459,9437,7261365,4264557,TRUE,"Mammalia",8809072,NA
2430765,"Craugastor augusti (Dugès, 1879)","species","ACCEPTED","EXACT","Craugastor augusti",98,"Animalia","Chordata","Anura","Craugastoridae","Craugastor","Craugastor augusti",1,44,131,952,6730,2426022,2430765,FALSE,"Amphibia",NA,NA
1325214,"Crematogaster cerasi Fitch, 1855","species","ACCEPTED","EXACT","Crematogaster cerasi",98,"Animalia","Arthropoda","Hymenoptera","Formicidae","Crematogaster","Crematogaster cerasi",1,54,216,1457,4342,1324306,1325214,FALSE,"Insecta",NA,NA
2438550,"Cricetomys gambianus Waterhouse, 1840","species","ACCEPTED","EXACT","Cricetomys gambianus",98,"Animalia","Chordata","Rodentia","Nesomyidae","Cricetomys","Cricetomys gambianus",1,44,359,1459,3240581,2438549,2438550,FALSE,"Mammalia",NA,NA
2438704,"Cricetus cricetus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Cricetus cricetus",98,"Animalia","Chordata","Rodentia","Cricetidae","Cricetus","Cricetus cricetus",1,44,359,1459,3240723,2438703,2438704,FALSE,"Mammalia",NA,NA
4990500,"Crioceris asparagi (Linnaeus, 1758)","species","ACCEPTED","EXACT","Crioceris asparagi",98,"Animalia","Arthropoda","Coleoptera","Chrysomelidae","Crioceris","Crioceris asparagi",1,54,216,1470,7780,7452630,4990500,FALSE,"Insecta",NA,NA
2435723,"Crocidura leucodon (Hermann, 1780)","species","ACCEPTED","EXACT","Crocidura leucodon",98,"Animalia","Chordata","Soricomorpha","Soricidae","Crocidura","Crocidura leucodon",1,44,359,803,5534,2435528,2435723,FALSE,"Mammalia",NA,NA
2435654,"Crocidura russula (Hermann, 1780)","species","ACCEPTED","EXACT","Crocidura russula",98,"Animalia","Chordata","Soricomorpha","Soricidae","Crocidura","Crocidura russula",1,44,359,803,5534,2435528,2435654,FALSE,"Mammalia",NA,NA
2441329,"Crocodylus acutus (Cuvier, 1807)","species","ACCEPTED","EXACT","Crocodylus acutus",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus acutus",1,44,358,704,5685,2441321,2441329,FALSE,"Reptilia",NA,NA
2441355,"Crocodylus johnsoni Krefft, 1873","species","ACCEPTED","EXACT","Crocodylus johnsoni",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus johnsoni",1,44,358,704,5685,2441321,2441355,FALSE,"Reptilia",NA,NA
2441327,"Crocodylus mindorensis Schmidt, 1935","species","ACCEPTED","EXACT","Crocodylus mindorensis",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus mindorensis",1,44,358,704,5685,2441321,2441327,FALSE,"Reptilia",NA,NA
2441352,"Crocodylus moreletii (Duméril & Bibron, 1851)","species","ACCEPTED","EXACT","Crocodylus moreletii",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus moreletii",1,44,358,704,5685,2441321,2441352,FALSE,"Reptilia",NA,NA
2441326,"Crocodylus novaeguineae Schmidt, 1928","species","ACCEPTED","EXACT","Crocodylus novaeguineae",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus novaeguineae",1,44,358,704,5685,2441321,2441326,FALSE,"Reptilia",NA,NA
2441350,"Crocodylus palustris (Lesson, 1831)","species","ACCEPTED","EXACT","Crocodylus palustris",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus palustris",1,44,358,704,5685,2441321,2441350,FALSE,"Reptilia",NA,NA
2441333,"Crocodylus porosus Schneider, 1801","species","ACCEPTED","EXACT","Crocodylus porosus",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus porosus",1,44,358,704,5685,2441321,2441333,FALSE,"Reptilia",NA,NA
2441322,"Crocodylus rhombifer (Cuvier, 1807)","species","ACCEPTED","EXACT","Crocodylus rhombifer",98,"Animalia","Chordata","Crocodylia","Crocodylidae","Crocodylus","Crocodylus rhombifer",1,44,358,704,5685,2441321,2441322,FALSE,"Reptilia",NA,NA
5218781,"Crocuta crocuta (Erxleben, 1777)","species","ACCEPTED","EXACT","Crocuta crocuta",98,"Animalia","Chordata","Carnivora","Hyaenidae","Crocuta","Crocuta crocuta",1,44,359,732,5306,2433504,5218781,FALSE,"Mammalia",NA,NA
5219137,"Crossarchus obscurus F.G.Cuvier, 1825","species","ACCEPTED","EXACT","Crossarchus obscurus",98,"Animalia","Chordata","Carnivora","Herpestidae","Crossarchus","Crossarchus obscurus",1,44,359,732,9678,3241454,5219137,FALSE,"Mammalia",NA,NA
5219138,"Crossarchus platycephalus Goldman, 1984","species","ACCEPTED","EXACT","Crossarchus platycephalus",98,"Animalia","Chordata","Carnivora","Herpestidae","Crossarchus","Crossarchus platycephalus",1,44,359,732,9678,3241454,5219138,FALSE,"Mammalia",NA,NA
2270981,"Crossaster papposus (Linnaeus, 1767)","species","ACCEPTED","EXACT","Crossaster papposus",98,"Animalia","Echinodermata","Valvatida","Solasteridae","Crossaster","Crossaster papposus",1,50,214,810,2064,2270972,2270981,FALSE,"Asteroidea",NA,NA
2474098,"Crossoptilon mantchuricum Swinhoe, 1863","species","ACCEPTED","EXACT","Crossoptilon mantchuricum",98,"Animalia","Chordata","Galliformes","Phasianidae","Crossoptilon","Crossoptilon mantchuricum",1,44,212,723,9331,2474097,2474098,FALSE,"Aves",NA,NA
2444468,"Crotalus horridus Linnaeus, 1758","species","ACCEPTED","EXACT","Crotalus horridus",98,"Animalia","Chordata","Squamata","Viperidae","Crotalus","Crotalus horridus",1,44,358,715,5024,2444354,2444468,FALSE,"Reptilia",NA,NA
2444473,"Crotalus molossus Baird & Girard, 1853","species","ACCEPTED","EXACT","Crotalus molossus",97,"Animalia","Chordata","Squamata","Viperidae","Crotalus","Crotalus molossus",1,44,358,715,5024,2444354,2444473,FALSE,"Reptilia",NA,NA
2444355,"Crotalus tigris Kennicott, 1859","species","ACCEPTED","EXACT","Crotalus tigris",98,"Animalia","Chordata","Squamata","Viperidae","Crotalus","Crotalus tigris",1,44,358,715,5024,2444354,2444355,FALSE,"Reptilia",NA,NA
2444438,"Crotalus unicolor Van Lidth de Jeude, 1887","species","SYNONYM","EXACT","Crotalus unicolor",97,"Animalia","Chordata","Squamata","Viperidae","Crotalus","Crotalus durissus",1,44,358,715,5024,2444354,2444433,TRUE,"Reptilia",7718684,NA
2432031,"Cryptobranchus alleganiensis (Sonnini de Manoncourt & Latreille, 1801)","species","ACCEPTED","EXACT","Cryptobranchus alleganiensis",98,"Animalia","Chordata","Caudata","Cryptobranchidae","Cryptobranchus","Cryptobranchus alleganiensis",1,44,131,953,6747,2432030,2432031,FALSE,"Amphibia",NA,NA
5193725,"Cryptochiton stelleri (Middendorff, 1847)","species","ACCEPTED","EXACT","Cryptochiton stelleri",98,"Animalia","Mollusca","Chitonida","Mopaliidae","Cryptochiton","Cryptochiton stelleri",1,52,346,8278247,7552,2305879,5193725,FALSE,"Polyplacophora",NA,NA
2437214,"Cryptomys damarensis (Ogilby, 1838)","species","ACCEPTED","EXACT","Cryptomys damarensis",98,"Animalia","Chordata","Rodentia","Bathyergidae","Cryptomys","Cryptomys damarensis",1,44,359,1459,5492,2437211,2437214,FALSE,"Mammalia",NA,NA
2437213,"Cryptomys hottentotus (Lesson, 1826)","species","ACCEPTED","EXACT","Cryptomys hottentotus",98,"Animalia","Chordata","Rodentia","Bathyergidae","Cryptomys","Cryptomys hottentotus",1,44,359,1459,5492,2437211,2437213,FALSE,"Mammalia",NA,NA
5786537,"Cryptonanus chacoensis (Tate, 1931)","species","ACCEPTED","EXACT","Cryptonanus chacoensis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Cryptonanus","Cryptonanus chacoensis",1,44,359,783,5455,5786535,5786537,FALSE,"Mammalia",NA,NA
2433516,"Cryptoprocta ferox Bennett, 1833","species","ACCEPTED","EXACT","Cryptoprocta ferox",98,"Animalia","Chordata","Carnivora","Eupleridae","Cryptoprocta","Cryptoprocta ferox",1,44,359,732,9702,2433515,2433516,FALSE,"Mammalia",NA,NA
5219507,"Cryptotis meridensis (Thomas, 1898)","species","ACCEPTED","EXACT","Cryptotis meridensis",98,"Animalia","Chordata","Soricomorpha","Soricidae","Cryptotis","Cryptotis meridensis",1,44,359,803,5534,2435817,5219507,FALSE,"Mammalia",NA,NA
5219509,"Cryptotis parva (Say, 1823)","species","ACCEPTED","EXACT","Cryptotis parva",98,"Animalia","Chordata","Soricomorpha","Soricidae","Cryptotis","Cryptotis parva",1,44,359,803,5534,2435817,5219509,FALSE,"Mammalia",NA,NA
2477567,"Crypturellus boucardi (P.L.Sclater, 1860)","species","ACCEPTED","EXACT","Crypturellus boucardi",98,"Animalia","Chordata","Tinamiformes","Tinamidae","Crypturellus","Crypturellus boucardi",1,44,212,726,9353,2477492,2477567,FALSE,"Aves",NA,NA
1419472,"Ctenocephalides felis (Bouche, 1835)","species","ACCEPTED","EXACT","Ctenocephalides felis",98,"Animalia","Arthropoda","Siphonaptera","Pulicidae","Ctenocephalides","Ctenocephalides felis",1,54,216,1366,8853,1419466,1419472,FALSE,"Insecta",NA,NA
5219941,"Ctenodactylus gundi (Rothmann, 1776)","species","ACCEPTED","EXACT","Ctenodactylus gundi",98,"Animalia","Chordata","Rodentia","Ctenodactylidae","Ctenodactylus","Ctenodactylus gundi",1,44,359,1459,5496,2439817,5219941,FALSE,"Mammalia",NA,NA
2439643,"Ctenomys conoveri Osgood, 1946","species","ACCEPTED","EXACT","Ctenomys conoveri",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys conoveri",1,44,359,1459,4263366,2439605,2439643,FALSE,"Mammalia",NA,NA
2439609,"Ctenomys fulvus Philippi, 1860","species","ACCEPTED","EXACT","Ctenomys fulvus",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys fulvus",1,44,359,1459,4263366,2439605,2439609,FALSE,"Mammalia",NA,NA
2439635,"Ctenomys haigi Thomas, 1917","species","ACCEPTED","EXACT","Ctenomys haigi",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys haigi",1,44,359,1459,4263366,2439605,2439635,FALSE,"Mammalia",NA,NA
2439629,"Ctenomys pearsoni Lessa & Langguth, 1983","species","ACCEPTED","EXACT","Ctenomys pearsoni",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys pearsoni",1,44,359,1459,4263366,2439605,2439629,FALSE,"Mammalia",NA,NA
4263376,"Ctenomys rionegrensis Langguth & Abella, 1970","species","ACCEPTED","EXACT","Ctenomys rionegrensis",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys rionegrensis",1,44,359,1459,4263366,2439605,4263376,FALSE,"Mammalia",NA,NA
2439608,"Ctenomys sociabilis Pearson & Christie, 1985","species","ACCEPTED","EXACT","Ctenomys sociabilis",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys sociabilis",1,44,359,1459,4263366,2439605,2439608,FALSE,"Mammalia",NA,NA
2439621,"Ctenomys talarum Thomas, 1898","species","ACCEPTED","EXACT","Ctenomys talarum",98,"Animalia","Chordata","Rodentia","Ctenomyidae","Ctenomys","Ctenomys talarum",1,44,359,1459,4263366,2439605,2439621,FALSE,"Mammalia",NA,NA
2459603,"Ctenosaura similis (Gray, 1831)","species","ACCEPTED","EXACT","Ctenosaura similis",97,"Animalia","Chordata","Squamata","Iguanidae","Ctenosaura","Ctenosaura similis",1,44,358,715,6935,2459728,2459603,FALSE,"Reptilia",NA,NA
5231918,"Cuculus canorus Linnaeus, 1758","species","ACCEPTED","EXACT","Cuculus canorus",98,"Animalia","Chordata","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus",1,44,212,1492,9309,2336662,5231918,FALSE,"Aves",NA,NA
2356556,"Culaea inconstans (Kirtland, 1840)","species","ACCEPTED","EXACT","Culaea inconstans",98,"Animalia","Chordata","Gasterosteiformes","Gasterosteidae","Culaea","Culaea inconstans",1,44,204,550,7666,2356555,2356556,FALSE,"Actinopterygii",NA,NA
1652906,"Culex tarsalis Coquillett, 1896","species","ACCEPTED","EXACT","Culex tarsalis",98,"Animalia","Arthropoda","Diptera","Culicidae","Culex","Culex tarsalis",1,54,216,811,3346,1497010,1652906,FALSE,"Insecta",NA,NA
1632282,"Culicoides variipennis (Coquillett, 1901)","species","ACCEPTED","EXACT","Culicoides variipennis",98,"Animalia","Arthropoda","Diptera","Ceratopogonidae","Culicoides","Culicoides variipennis",1,54,216,811,3340,1631084,1632282,FALSE,"Insecta",NA,NA
1649514,"Culiseta melanura (Coquillett, 1902)","species","ACCEPTED","EXACT","Culiseta melanura",98,"Animalia","Arthropoda","Diptera","Culicidae","Culiseta","Culiseta melanura",1,54,216,811,3346,1649499,1649514,FALSE,"Insecta",NA,NA
4263039,"Cuniculus paca (Linnaeus, 1766)","species","ACCEPTED","EXACT","Cuniculus paca",98,"Animalia","Chordata","Rodentia","Cuniculidae","Cuniculus","Cuniculus paca",1,44,359,1459,3240591,3240592,4263039,FALSE,"Mammalia",NA,NA
5706515,"Cuniculus taczanowskii (Stolzmann, 1865)","species","ACCEPTED","EXACT","Cuniculus taczanowskii",98,"Animalia","Chordata","Rodentia","Cuniculidae","Cuniculus","Cuniculus taczanowskii",1,44,359,1459,3240591,3240592,5706515,FALSE,"Mammalia",NA,NA
2434317,"Cuon alpinus (Pallas, 1811)","species","ACCEPTED","EXACT","Cuon alpinus",98,"Animalia","Chordata","Carnivora","Canidae","Cuon","Cuon alpinus",1,44,359,732,9701,2434316,2434317,FALSE,"Mammalia",NA,NA
2443521,"Cuora amboinensis (Daudin, 1802)","species","ACCEPTED","EXACT","Cuora amboinensis",97,"Animalia","Chordata","Testudines","Geoemydidae","Cuora","Cuora amboinensis",1,44,358,793,5463,2443496,2443521,FALSE,"Reptilia",NA,NA
9116969,"Cuora flavomarginata (Gray, 1863)","species","ACCEPTED","EXACT","Cuora flavomarginata",98,"Animalia","Chordata","Testudines","Geoemydidae","Cuora","Cuora flavomarginata",1,44,358,793,5463,2443496,9116969,FALSE,"Reptilia",NA,NA
5714729,"Cupido comyntas (Godart, 1824)","species","SYNONYM","EXACT","Cupido comyntas",98,"Animalia","Arthropoda","Lepidoptera","Lycaenidae","Elkalyce","Elkalyce comyntas",1,54,216,797,5473,1920834,1920900,TRUE,"Insecta",1920900,NA
1587578,"Cuterebra emasculator Fitch, 1856","species","ACCEPTED","EXACT","Cuterebra emasculator",98,"Animalia","Arthropoda","Diptera","Oestridae","Cuterebra","Cuterebra emasculator",1,54,216,811,9499,1587475,1587578,FALSE,"Insecta",NA,NA
2264478,"Cyanea capillata (Linnaeus, 1758)","species","ACCEPTED","EXACT","Cyanea capillata",98,"Animalia","Cnidaria","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata",1,43,352,711,3961,2264467,2264478,FALSE,"Scyphozoa",NA,NA
2482593,"Cyanocitta cristata (Linnaeus, 1758)","species","ACCEPTED","EXACT","Cyanocitta cristata",98,"Animalia","Chordata","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata",1,44,212,729,5235,2482592,2482593,FALSE,"Aves",NA,NA
2482598,"Cyanocitta stelleri (Gmelin, 1788)","species","ACCEPTED","EXACT","Cyanocitta stelleri",98,"Animalia","Chordata","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",1,44,212,729,5235,2482592,2482598,FALSE,"Aves",NA,NA
2482565,"Cyanocorax yncas (Boddaert, 1783)","species","ACCEPTED","EXACT","Cyanocorax yncas",98,"Animalia","Chordata","Passeriformes","Corvidae","Cyanocorax","Cyanocorax yncas",1,44,212,729,5235,2482558,2482565,FALSE,"Aves",NA,NA
2482550,"Cyanolyca cucullata (Ridgway, 1885)","species","ACCEPTED","EXACT","Cyanolyca cucullata",98,"Animalia","Chordata","Passeriformes","Corvidae","Cyanolyca","Cyanolyca cucullata",1,44,212,729,5235,2482541,2482550,FALSE,"Aves",NA,NA
2479185,"Cyanopsitta spixii (Wagler, 1832)","species","ACCEPTED","EXACT","Cyanopsitta spixii",98,"Animalia","Chordata","Psittaciformes","Psittacidae","Cyanopsitta","Cyanopsitta spixii",1,44,212,1445,9340,2479184,2479185,FALSE,"Aves",NA,NA
2359101,"Cycleptus elongatus (Lesueur, 1817)","species","ACCEPTED","EXACT","Cycleptus elongatus",98,"Animalia","Chordata","Cypriniformes","Catostomidae","Cycleptus","Cycleptus elongatus",1,44,204,1153,3384,2359099,2359101,FALSE,"Actinopterygii",NA,NA
2287949,"Cyclonaias tuberculata (Rafinesque, 1820)","species","ACCEPTED","EXACT","Cyclonaias tuberculata",98,"Animalia","Mollusca","Unionida","Unionidae","Cyclonaias","Cyclonaias tuberculata",1,52,137,9301143,3461,2287948,2287949,FALSE,"Bivalvia",NA,NA
2436326,"Cyclopes didactylus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Cyclopes didactylus",98,"Animalia","Chordata","Pilosa","Cyclopedidae","Cyclopes","Cyclopes didactylus",1,44,359,1494,5482,2436325,2436326,FALSE,"Mammalia",NA,NA
