"species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","bodymass_kg"
"acridotheres_tristis","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans",1,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,"Seeds, grains, and nuts, Fruit, Nectar, Flowers",NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,1,0.1125
"acris_crepitans","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA
"acris_gryllus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insects, Terrestrial Non-insect Arthropods",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,1,NA,NA
"acrobates_pygmaeus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,0.013
"acrocephalus_arundinaceus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks",NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,"Fruit",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,1,0.036
"acrochordus_granulatus","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fish, Mollusks, Aquatic Crustaceans",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,NA,0.13
"acrochordus_javanicus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,6.5
"acropora_cervicornis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA
"acropora_millepora","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"Zooplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Phytoplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Detritus, Microbes",NA,1,NA,1,NA,1,1,NA,NA
"acropora_palmata","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"Zooplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Sap or other plant fluids, Phytoplankton",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"Detritus, Microbes",NA,1,NA,1,NA,1,NA,NA,NA
