internal_ref_1,internal_ref_2,sample_name,K,K_unit,Mg,Mg_unit,P,P_unit
R108664 ,2207-E0108664,F-2435350-909-i1-1 Loxodonta africana - Feces,1.09,%,1310,mg/kg,3256,mg/kg
R108665 ,2207-E0108665,F-2441151-568-g1-1 Oreamnos americanus - Feces,2564,mg/kg,3269,mg/kg,7436,mg/kg
R108666 ,2207-E0108666,F-7261419-568-g1-1 Na emorhedus griseus - Feces,2494,mg/kg,3071,mg/kg,5192,mg/kg
R108667 ,2207-E0108667,F-2440946-208-i1-1 Muntiacus reevesi - Feces,6564,mg/kg,6091,mg/kg,7718,mg/kg
R108668 ,2207-E0108668,F-2435350-925-i1-1 Loxodonta africana - Feces,6751,mg/kg,1233,mg/kg,1983,mg/kg
R108669 ,2207-E0108669,F-2495150-800-g1-1 Struthio camelus - Feces,1.41,%,2030,mg/kg,7812,mg/kg
R108670 ,2207-E0108670,F-4262671-568-g1-1 Budorcas taxicolor tibetana - Feces,3551,mg/kg,5139,mg/kg,6632,mg/kg
R108671 ,2207-E0108671,F-5219534-823-i2-1 Pan troglodytes - Feces,3.31,%,6936,mg/kg,2.82,%
R108672 ,2207-E0108672,F-2495200-568-g1-1 Goura sclateri - Feces,1.24,%,2444,mg/kg,5215,mg/kg
R108673 ,2207-E0108673,F-2441205-925-i2-1 Giraffa camelopardalis - Feces,6956,mg/kg,4477,mg/kg,6965,mg/kg
R108674 ,2207-E0108674,F-9055455-103-i1-1 Camelus dromedarius - Feces,1.4,%,2187,mg/kg,5755,mg/kg
R108675 ,2207-E0108675,F-2495165-103-g1-1 Rhea americana - Feces,1.21,%,4717,mg/kg,9542,mg/kg
R108676 ,2207-E0108676,F-5220113-909-i1-1 Rhinoceros unicornis - Feces,1.09,%,779,mg/kg,2922,mg/kg
R108677 ,2207-E0108677,F-5219984-925-i1-1 Macropus parma - Feces,1.98,%,2366,mg/kg,5640,mg/kg
R108678 ,2207-E0108678,F-2476041-800-i1-1 Bucorvus leadbeateri - Feces,1.47,%,6587,mg/kg,2.04,%
R108679 ,2207-E0108679,F-4262588-568-g1-1 Bos frontalis gaurus - Feces,3554,mg/kg,1146,mg/kg,1219,mg/kg
R108680 ,2207-E0108680,F-5218887-927-i2-1 Martes foina - Feces,3607,mg/kg,4136,mg/kg,3.98,%
R108681 ,2207-E0108681,F-4262535-568-g1-1 Ovis aries arkal - Feces,3682,mg/kg,2239,mg/kg,5767,mg/kg
R108682 ,2207-E0108682,F-2434615-637-i2-1 Arctictis binturong - Feces,4.03,%,2367,mg/kg,2129,mg/kg
R108683 ,2207-E0108683,F-5220183-800-g1-1 Tragelaphus strepsiceros - Feces,7166,mg/kg,4547,mg/kg,6353,mg/kg
R108684 ,2207-E0108684,F-2440880-823-i1-1 Ceratotherium simum - Feces,7114,mg/kg,1344,mg/kg,1990,mg/kg
R108685 ,2207-E0108685,F-2437619-103-g1-1 Dolichotis patagonum - Feces,4796,mg/kg,2123,mg/kg,6106,mg/kg
R108686 ,2207-E0108686,F-2441030-823-i-1 Hippotragus equinus - Feces,1.4,%,5988,mg/kg,3456,mg/kg
R108687 ,2207-E0108687,F-2440196-103-g1-1 Macropus rufogriseus - Feces,1,%,2609,mg/kg,8303,mg/kg
R108688 ,2207-E0108688,F-2440898-103-g1-1 Tapirus terrestris - Feces,1.42,%,2117,mg/kg,8315,mg/kg
R108689 ,2207-E0108689,F-7549160-103-g1-1 Sapajus xanthosternos - Feces,1.41,%,2302,mg/kg,1296,mg/kg
R108690 ,2207-E0108690,F-2468542-800-g1-1 Timon lepidus - Feces,1.16,%,1959,mg/kg,3.77,%
R108691 ,2207-E0108691,F-7818962-568-i1-1 Acrocodia indica - Feces,3574,mg/kg,1049,mg/kg,2689,mg/kg
R108692 ,2207-E0108692,F-2440880-925-i1-1 Ceratotherium simum - Feces,7372,mg/kg,890,mg/kg,3220,mg/kg
R108693 ,2207-E0108693,F-2441022-103-g1-1 Bos taurus - Feces,4734,mg/kg,4142,mg/kg,5039,mg/kg
R108694 ,2207-E0108694,F-2441022-925-i1-1 Bos taurus - Feces,8956,mg/kg,1651,mg/kg,5394,mg/kg
R108695 ,2207-E0108695,F-5963045-925-i2-1 Colobus guereza - Feces,1.09,%,4653,mg/kg,1.45,%
R108696 ,2207-E0108696,F-5219534-823-i1-1 Pan troglodytes - Feces,2.39,%,6564,mg/kg,2.42,%
R108697 ,2207-E0108697,F-5963045-925-i1-1 Colobus guereza - Feces,1.16,%,3586,mg/kg,1.39,%
R108698 ,2207-E0108698,F-1866570-334-i1-1 Antheraea polyphemus - Feces,7360,mg/kg,1804,mg/kg,1145,mg/kg
R108699 ,2207-E0108699,F-5220162-925-i1-1 Kobus leche - Feces,1.19,%,5937,mg/kg,1.12,%
R108700 ,2207-E0108700,F-2436441-925-i3-1 Gorilla gorilla - Feces,1.45,%,2957,mg/kg,9714,mg/kg
R108701 ,2207-E0108701,F-2436481-800-g1-1 Leontopithecus chrysomelas - Feces,4665,mg/kg,2627,mg/kg,1.16,%
R108702 ,2207-E0108702,F-5219303-925-i1-1 Vulpes lagopus - Feces,2641,mg/kg,5201,mg/kg,8.3,%
