"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Chrysochus auratus","1048357","1048357","Coleoptera","Chrysomelidae","Chrysochus","ACCEPTED","Chrysochus auratus","Herbivore, Herbivore: Folivore","","","","","","","YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Roots and tubers, Flowers","YES","YES","","","","","","YES","","","","","","","","","",NA,NA,"","YES","","","chrysochus_auratus",NA
"Chrysocyon brachyurus","2434450","2434450","Carnivora","Canidae","Chrysocyon","ACCEPTED","Chrysocyon brachyurus","Omnivore","","","","","","","","","","","YES","",NA,"",NA,"Birds, Mammals, Reptiles, Fish, Eggs, Insects, Mollusks","YES","YES","","YES","YES","YES","","","","YES","","YES","","","","","","","","Roots and tubers, Fruit","","YES","","","YES","","","","","","","","","","","","",NA,NA,"YES","","","","chrysocyon_brachyurus",21.5
"Chrysops atlanticus","1497480","1497480","Diptera","Tabanidae","Chrysops","ACCEPTED","Chrysops atlanticus","Herbivore, Herbivore: Nectarivore","","","","","","","YES","","","","","",NA,"",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","Nectar, Pollen","","","","","","YES","YES","","","","","","","","Detritus","","YES",NA,NA,"","YES","","","chrysops_atlanticus",NA
"Chrysops excitans","1497466","1497466","Diptera","Tabanidae","Chrysops","ACCEPTED","Chrysops excitans","Carnivore, Carnivore: Sanguivore, Herbivore, Herbivore: Nectarivore, Detritivore","YES","","YES","","","","YES","","","","","",NA,"YES",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","Fruit, Nectar, Pollen","","","","","YES","YES","YES","","","","","","","","Detritus","","YES",NA,NA,"","YES","YES","","chrysops_excitans",NA
"Chrysops frigidus","1497364","1497364","Diptera","Tabanidae","Chrysops","ACCEPTED","Chrysops frigidus","Herbivore, Herbivore: Nectarivore, Detritivore","","","","","","","YES","","","","","",NA,"YES",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","Fruit, Nectar, Pollen","","","","","YES","YES","YES","","","","","","","","Detritus","","YES",NA,NA,"","YES","YES","","chrysops_frigidus",NA
"Chrysops vittatus","1497435","1497435","Diptera","Tabanidae","Chrysops","ACCEPTED","Chrysops vittatus","Carnivore, Carnivore: Sanguivore, Herbivore, Herbivore: Nectarivore","YES","","YES","","","","YES","","","","","",NA,"",NA,"Blood, Insects, Terrestrial Worms","","","","","","","YES","","","YES","","","YES","","","","","","","Nectar, Pollen","","","","","","YES","YES","","","","","","","","","","",NA,NA,"","YES","YES","","chrysops_vittatus",NA
"Chrysospalax trevelyani","2432198","2432198","Afrosoricida","Chrysochloridae","Chrysospalax","ACCEPTED","Chrysospalax trevelyani","Carnivore, Carnivore: Insectivore, Carnivore: Vermivore","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","","","","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","chrysospalax_trevelyani",0.539
"Strix nigrolineata","4843093","2497438","Strigiformes","Strigidae","Strix","SYNONYM","Ciccaba nigrolineata","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Mammals, Insects","","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","ciccaba_nigrolineata",0.485
NA,NA,"1034699","Coleoptera","Carabidae","Cicindela","ACCEPTED","Cicindela dorsalis","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cicindela_dorsalis",NA
"Cicindela fulgida","1034859","1034859","Coleoptera","Carabidae","Cicindela","ACCEPTED","Cicindela fulgida","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cicindela_fulgida",NA
