"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Littoraria irrorata","5192673","2301056","Littorinimorpha","Littorinidae","Littoraria","SYNONYM","Littorina irrorata","Herbivore, Herbivore: Algivore, Detritivore","","","","","","","YES","","","YES","","",NA,"YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae","","","","","","","","","","","","YES","","","Detritus, Microbes","","YES","","YES","","YES","YES","","littorina_irrorata",NA
"Livoneca redmanii","2210417","2210417","Isopoda","Cymothoidae","Livoneca","ACCEPTED","Livoneca redmanii","Carnivore, Carnivore: Eats body fluids","YES","","","","","","","","","","","",NA,"","","Body fluids","","","","","","",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","livoneca_redmanii",NA
"Loa loa","5798292","5798292","Spirurida","Onchocercidae","Loa","ACCEPTED","Loa loa","Carnivore, Carnivore: Eats body fluids","YES","","","","","","","","","","","",NA,"","","Body fluids","","","","","","",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","loa_loa",NA
"Lobesia botrana","1740623","1740623","Lepidoptera","Tortricidae","Lobesia","ACCEPTED","Lobesia botrana","Herbivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","","","","","","","","","","","","","YES","YES","","lobesia_botrana",NA
"Lobodon carcinophaga","2434762","2434762","Carnivora","Phocidae","Lobodon","ACCEPTED","Lobodon carcinophaga","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","",NA,"","","Aquatic Crustaceans, Other Marine Invertebrates","","","","","","",NA,"","","","","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","lobodon_carcinophaga",250
"Loligo forbesii","2290407","2290407","Myopsida","Loliginidae","Loligo","ACCEPTED","Loligo forbesii","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES","","","","","","","","","","",NA,"","","Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates","","","","","YES","",NA,"","","","","YES","","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","loligo_forbesii",NA
"Doryteuthis pealeii","5855960","2290370","Myopsida","Loliginidae","Doryteuthis","SYNONYM","Loligo pealeii","","","","","","","","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","loligo_pealeii",NA
"Hsunycteris thomasi","7394262","2433228","Chiroptera","Phyllostomidae","Hsunycteris","SYNONYM","Lonchophylla thomasi","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Fruit, Nectar, Pollen, Flowers","YES","","","","YES","YES","YES","YES","",NA,NA,"","","","","","",NA,"","YES","","","","lonchophylla_thomasi",0.01
"Lonchorhina aurita","2433215","2433215","Chiroptera","Phyllostomidae","Lonchorhina","ACCEPTED","Lonchorhina aurita","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lonchorhina_aurita",0.013
"Lontra canadensis","2433727","2433727","Carnivora","Mustelidae","Lontra","ACCEPTED","Lontra canadensis","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Fish, Eggs, Insects, Terrestrial Non-insect Arthropods, Aquatic Crustaceans","YES","YES","YES","","YES","YES",NA,"","","YES","YES","","","","YES","",NA,"","","Leaves, Roots and tubers, Macroalgae","YES","YES","","","","","","","",NA,NA,"","YES","","","","",NA,"","YES","","","YES","lontra_canadensis",9.5
"Lontra felina","2433737","2433737","Carnivora","Mustelidae","Lontra","ACCEPTED","Lontra felina","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Eggs, Mollusks, Aquatic Crustaceans, Echinoderms, Other Marine Invertebrates","YES","YES","","","","YES",NA,"","","","","YES","","","YES","YES",NA,"YES","","Fruit","","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lontra_felina",4.5
"Lontra longicaudis","2433738","2433738","Carnivora","Mustelidae","Lontra","ACCEPTED","Lontra longicaudis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lontra_longicaudis",10
"Lontra provocax","2433736","2433736","Carnivora","Mustelidae","Lontra","ACCEPTED","Lontra provocax","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Fish, Terrestrial Non-insect Arthropods, Mollusks","YES","","","","YES","",NA,"","","","YES","YES","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lontra_provocax",NA
"Desmophyllum pertusum","9783587","2259224","Scleractinia","Caryophylliidae","Desmophyllum","SYNONYM","Lophelia pertusa","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"Zooplankton","","","","","","",NA,"","","","","","","","","",NA,"","YES","","","","","","","","","","",NA,NA,"","","","Detritus","","YES",NA,"","","YES","YES","","lophelia_pertusa",NA
"Lophiomys imhausi","5219729","5219729","Rodentia","Cricetidae","Lophiomys","ACCEPTED","Lophiomys imhausi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lophiomys_imhausi",0.755
"Lophocebus albigena","2436589","2436589","Primates","Cercopithecidae","Lophocebus","ACCEPTED","Lophocebus albigena","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","","","","lophocebus_albigena",9.3175
"Lophodytes cucullatus","2498408","2498408","Anseriformes","Anatidae","Lophodytes","ACCEPTED","Lophodytes cucullatus","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"YES","","","","","","","","","","",NA,"Fish, Insects, Aquatic Crustaceans","","","","","YES","",NA,"","","YES","","","","","YES","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lophodytes_cucullatus",0.61
"Loris lydekkerianus","7262073","7262073","Primates","Lorisidae","Loris","ACCEPTED","Loris lydekkerianus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Amphibians, Reptiles, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","YES","YES","","",NA,"","","YES","YES","YES","","","","",NA,"","","Fruit, Sap or other plant fluids","","","","","YES","","","","YES",NA,NA,"","","","","","",NA,"","YES","","","YES","loris_lydekkerianus",0.235
"Loris tardigradus","2436626","2436626","Primates","Lorisidae","Loris","ACCEPTED","Loris tardigradus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Insects","YES","YES","YES","YES","","YES",NA,"","","YES","","","","","","",NA,"","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,NA,"","","","","","",NA,"","YES","","","YES","loris_tardigradus",0.177
"Lota lota","2415460","2415460","Gadiformes","Lotidae","Lota","ACCEPTED","Lota lota","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Fish, Insects, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Zooplankton","","","","","YES","",NA,"","","YES","","YES","","YES","YES","",NA,"","YES","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","lota_lota",34
"Lottia gigantea","2297856","2297856",NA,"Lottiidae","Lottia","ACCEPTED","Lottia gigantea","Herbivore, Herbivore: Algivore, Planktivore","","",NA,"","","","YES","","","YES","","YES","","",NA,"Zooplankton","","","","","","",NA,"","","","","","","","","",NA,"","YES","Algae","","","","","","","","","",NA,NA,"YES","","","Microbes","","",NA,"YES","","YES","YES","","lottia_gigantea",NA
"Loxia curvirostra","9629160","9629160","Passeriformes","Fringillidae","Loxia","ACCEPTED","Loxia curvirostra","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Seeds, grains, and nuts","","","","YES","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","loxia_curvirostra",0.03455
"Loxodonta africana","2435350","2435350","Proboscidea","Elephantidae","Loxodonta","ACCEPTED","Loxodonta africana","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Lignivore","","",NA,"","","","YES","YES","YES","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Roots and tubers, Wood, bark, or stems, Fruit","YES","YES","YES","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","loxodonta_africana",4540
"Loxodonta cyclotis","2435349","2435349","Proboscidea","Elephantidae","Loxodonta","ACCEPTED","Loxodonta cyclotis","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Lignivore","","",NA,"","","","YES","YES","YES","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit","YES","","YES","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","loxodonta_cyclotis",4350
"Loxops coccineus","5231618","5231618","Passeriformes","Fringillidae","Loxops","ACCEPTED","Loxops coccineus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Nectarivore","YES","",NA,"YES","","","YES","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","",NA,"","","Nectar","","","","","","YES","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","loxops_coccineus",0.011
"Loxorhynchus crispatus","2226752","2226752","Decapoda","Epialtidae","Loxorhynchus","ACCEPTED","Loxorhynchus crispatus","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore, Carnivore: Eats other marine invertebrates, Carnivore: Scavenger, Herbivore, Herbivore: Algivore, Omnivore, Planktivore, Mycophage, Detritivore","YES","",NA,"","YES","YES","YES","","","YES","YES","YES","YES","YES",NA,"Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","","",NA,"","","","","YES","","YES","YES","",NA,"YES","YES","Algae, Macroalgae, Phytoplankton","","","","","","","","","",NA,NA,"YES","YES","YES","Fungus, Detritus, Microbes","YES","YES",NA,"YES","","YES","","","loxorhynchus_crispatus",NA
"Loxosceles reclusa","5170704","5170704","Araneae","Sicariidae","Loxosceles","ACCEPTED","Loxosceles reclusa","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","loxosceles_reclusa",NA
"Lucanus elaphus","7831408","7831408","Coleoptera","Lucanidae","Lucanus","ACCEPTED","Lucanus elaphus","Herbivore, Herbivore: Lignivore, Herbivore: Eats sap or other plant foods","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Wood, bark, or stems, Fruit, Sap or other plant fluids","","","YES","","YES","","","","YES",NA,NA,"","","","Fungus, Microbes","YES","",NA,"YES","","YES","YES","","lucanus_elaphus",NA
"Luidia alternata","2270586","2270586","Paxillosida","Luidiidae","Luidia","ACCEPTED","Luidia alternata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","luidia_alternata",NA
"Luidia ciliaris","2270661","2270661","Paxillosida","Luidiidae","Luidia","ACCEPTED","Luidia ciliaris","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates, Planktivore","YES","",NA,"","","YES","","","","","","YES","","",NA,"Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","","",NA,"","","","","","","","YES","",NA,"YES","YES","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","luidia_ciliaris",NA
"Luscinia megarhynchos","7660710","7660710","Passeriformes","Muscicapidae","Luscinia","ACCEPTED","Luscinia megarhynchos","Carnivore, Carnivore: Insectivore, Carnivore: Vermivore, Herbivore, Herbivore: Frugivore","YES","",NA,"YES","","","YES","YES","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","",NA,"","","YES","YES","","YES","","","",NA,"","","Fruit","","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","luscinia_megarhynchos",0.021
"Lutra lutra","2433753","2433753","Carnivora","Mustelidae","Lutra","ACCEPTED","Lutra lutra","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lutra_lutra",6.75
"Lutreolina crassicaudata","2439988","2439988","Didelphimorphia","Didelphidae","Lutreolina","ACCEPTED","Lutreolina crassicaudata","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Fish, Terrestrial Non-insect Arthropods, Mollusks, Aquatic Crustaceans","YES","YES","YES","","YES","",NA,"","","","YES","YES","","","YES","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lutreolina_crassicaudata",0.7201
"Lutrogale perspicillata","2433686","2433686","Carnivora","Mustelidae","Lutrogale","ACCEPTED","Lutrogale perspicillata","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Mollusks, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans","YES","YES","YES","YES","YES","YES",NA,"","","","","YES","YES","YES","YES","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lutrogale_perspicillata",9
"Luxilus coccogenis","2366963","2366963","Cypriniformes","Cyprinidae","Luxilus","ACCEPTED","Luxilus coccogenis","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Aquatic or Marine Worms","","","","","","",NA,"","","YES","YES","","","YES","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","luxilus_coccogenis",NA
"Lycaeides melissa","1926834","1926834","Lepidoptera","Lycaenidae","Lycaeides","ACCEPTED","Lycaeides melissa","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Nectar","YES","","","","","YES","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","lycaeides_melissa",NA
"Lycaena phlaeas","1929697","1929697","Lepidoptera","Lycaenidae","Lycaena","ACCEPTED","Lycaena phlaeas","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Nectar","YES","","","","","YES","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","lycaena_phlaeas",NA
"Lycaena rubidus","5714600","5714600","Lepidoptera","Riodinidae","Fabricius","ACCEPTED","Lycaena rubidus","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Nectar, Flowers","YES","","","","","YES","","YES","",NA,NA,"","","","","","",NA,"","","YES","YES","","lycaena_rubidus",NA
"Lycalopex culpaeus","2434340","2434340","Carnivora","Canidae","Lycalopex","ACCEPTED","Lycalopex culpaeus","Carnivore, Carnivore: Eats terrestrial vertebrates, Omnivore","YES","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Reptiles, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","","YES","","",NA,"","YES","YES","YES","","","","","",NA,"","","Fruit","","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycalopex_culpaeus",8.7
"Lycalopex fulvipes","2434330","2434330","Carnivora","Canidae","Lycalopex","ACCEPTED","Lycalopex fulvipes","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Insects, Aquatic Crustaceans","YES","YES","YES","","","",NA,"","","YES","","","","","YES","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycalopex_fulvipes",2.72
"Lycalopex gymnocercus","2434333","2434328","Carnivora","Canidae","Lycalopex","SYNONYM","Lycalopex griseus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","","YES",NA,"","YES","YES","YES","","","","","",NA,"","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycalopex_griseus",3
"Lycalopex gymnocercus","2434333","2434333","Carnivora","Canidae","Lycalopex","ACCEPTED","Lycalopex gymnocercus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","",NA,"","","","","","","","","",NA,"","","Fruit","","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycalopex_gymnocercus",5.35
"Lycalopex vetulus","2434331","2434331","Carnivora","Canidae","Lycalopex","ACCEPTED","Lycalopex vetulus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Reptiles, Insects, Terrestrial Non-insect Arthropods","YES","YES","","YES","","",NA,"","","YES","YES","","","","","",NA,"","","Fruit","","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycalopex_vetulus",3.33
"Lycaon pictus","5219317","5219317","Carnivora","Canidae","Lycaon","ACCEPTED","Lycaon pictus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Mammals","","YES","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lycaon_pictus",27
"Lymantria dispar","1820406","1820406","Lepidoptera","Erebidae","Lymantria","ACCEPTED","Lymantria dispar","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","lymantria_dispar",NA
"Lyncodon patagonicus","2433691","2433691","Carnivora","Mustelidae","Lyncodon","ACCEPTED","Lyncodon patagonicus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Mammals","","YES","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lyncodon_patagonicus",0.225
"Lynx canadensis","2435263","2435263","Carnivora","Felidae","Lynx","ACCEPTED","Lynx canadensis","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Fish, Carrion","YES","YES","","","YES","",NA,"","YES","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lynx_canadensis",10.9
"Lynx lynx","2435240","2435240","Carnivora","Felidae","Lynx","ACCEPTED","Lynx lynx","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals","YES","YES","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lynx_lynx",27
"Lynx pardinus","2435261","2435261","Carnivora","Felidae","Lynx","ACCEPTED","Lynx pardinus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals","YES","YES","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","lynx_pardinus",12.8
"Lynx rufus","2435246","2435246","Carnivora","Felidae","Lynx","ACCEPTED","Lynx rufus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Reptiles","YES","YES","","YES","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","lynx_rufus",9.5
"Macaca arctoides","2436605","2436605","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca arctoides","Herbivore, Herbivore: Frugivore, Omnivore","","",NA,"","","","YES","YES","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Eggs, Insects, Terrestrial Worms, Aquatic Crustaceans","YES","YES","YES","YES","","YES",NA,"","","YES","","","YES","","YES","",NA,"","","Leaves, Roots and tubers, Seeds, grains, and nuts, Fruit, Flowers","YES","YES","","YES","YES","","","YES","",NA,NA,"","","","","","",NA,"","YES","","","YES","macaca_arctoides",8.85
"Macaca cyclopis","2436615","2436615","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca cyclopis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macaca_cyclopis",11.5
"Macaca fascicularis","2436603","2436603","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca fascicularis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Aquatic Crustaceans","","","","","","",NA,"","","YES","","","","","YES","",NA,"","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_fascicularis",5
"Macaca fuscata","2436608","2436608","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca fuscata","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Nectarivore, Omnivore","","",NA,"","","","YES","YES","","","YES","","","",NA,"Eggs, Insects","","","","","","YES",NA,"","","YES","","","","","","",NA,"","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Nectar, Flowers","YES","YES","YES","YES","YES","YES","","YES","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_fuscata",8.8825
"Macaca mulatta","2436604","2436604","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca mulatta","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Insects","YES","YES","YES","YES","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Roots and tubers, Fruit","YES","YES","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macaca_mulatta",8
"Macaca nemestrina","2436611","2436611","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca nemestrina","Herbivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"Birds, Insects, Aquatic Crustaceans","YES","","","","","",NA,"","","YES","","","","","YES","",NA,"","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_nemestrina",9.6
"Macaca nigra","2436616","2436616","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca nigra","Herbivore, Herbivore: Frugivore, Omnivore","","",NA,"","","","YES","YES","","","YES","","","",NA,"Mammals, Amphibians, Reptiles, Eggs, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","YES","YES","YES","","YES",NA,"","","YES","YES","","YES","","","",NA,"","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","","YES","YES","YES","","","YES","",NA,NA,"","","","","","",NA,"","YES","","","","macaca_nigra",NA
"Macaca radiata","2436612","2436612","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca radiata","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Reptiles, Eggs, Insects","","","","YES","","YES",NA,"","","YES","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Nectar, Flowers","YES","","YES","YES","YES","YES","","YES","",NA,NA,"","","","","","",NA,"","YES","","","YES","macaca_radiata",NA
"Macaca silenus","2436617","2436617","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca silenus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Mammals, Amphibians, Reptiles, Insects","","YES","YES","YES","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Fruit, Flowers","YES","","YES","","YES","","","YES","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_silenus",6.5
"Macaca sinica","2436613","2436613","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca sinica","Herbivore, Herbivore: Frugivore, Omnivore","","",NA,"","","","YES","YES","","","YES","","","",NA,"Birds, Mammals, Reptiles, Insects","YES","YES","","YES","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Fruit, Flowers, Sap or other plant fluids","YES","","","","YES","","","YES","YES",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_sinica",4.2
"Macaca sylvanus","2436618","2436618","Primates","Cercopithecidae","Macaca","ACCEPTED","Macaca sylvanus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Amphibians, Insects","","","YES","","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","YES","YES","YES","YES","","","YES","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macaca_sylvanus",13.5
"Macquaria australasica","5209326","5209326","Perciformes","Percichthyidae","Macquaria","ACCEPTED","Macquaria australasica","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","YES","","YES","","YES","YES","",NA,"","YES","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","macquaria_australasica",1.5
