Family,Genus,CommonName,Species,Species (ITIS),Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Refs1,Refs2
Pitheciidae,Callicebus,Blond_Titi,Callicebus_barbarabrownae,Callicebus_barbarabrownae,0,1,1,0,0,0,0,227,NA
Pitheciidae,Callicebus,Coimbra_Filho_s_Titi,Callicebus_coimbrai,Callicebus_coimbrai,1,1,0,0,0,0,0,227,NA
Pitheciidae,Callicebus,Southern_Bahian_Titi,Callicebus_melanochir,Callicebus_melanochir,1,0,0,0,0,0,0,227,NA
Pitheciidae,Callicebus,Black_fronted_Titi,Callicebus_nigrifrons,Callicebus_nigrifrons,1,0,0,0,0,0,0,227,NA
Pitheciidae,Callicebus,Masked_Titi,Callicebus_personatus,Callicebus_personatus,1,0,0,0,0,0,0,227,NA
Callitrichidae,Callimico,Goeldi_s_Monkey*,Callimico_goeldii,Callimico_goeldii,1,0,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Buffy_tufted_ear_Marmoset,Callithrix_aurita,Callithrix_aurita,1,0,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Buffy_headed_Marmoset,Callithrix_flaviceps,Callithrix_flaviceps,1,0,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Geoffroy_s_Tufted_ear_Marmoset,Callithrix_geoffroyi,Callithrix_geoffroyi,1,1,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Common_Marmoset,Callithrix_jacchus,Callithrix_jacchus,1,1,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Wied_s_Black_tufted_ear_Marmoset,Callithrix_kuhlii,Callithrix_kuhlii,1,0,0,0,0,0,0,227,NA
Callitrichidae,Callithrix,Black_tufted_ear_Marmoset,Callithrix_penicillata,Callithrix_penicillata,1,1,0,0,0,0,0,227,NA
Tarsiidae,Carlito,Philippine_Tarsier,Carlito_syrichta,Carlito_syrichta,1,0,0,0,0,0,0,1148,NA
Callitrichidae,Cebuella,Eastern_Pygmy_Marmoset,NA,Cebuella_niveiventris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitrichidae,Cebuella,Pygmy_Marmoset,Cebuella_pygmaea,Cebuella_pygmaea,1,0,0,0,0,0,0,227,NA
Cebidae,Cebus,Ecuadorian_White_fronted_Capuchin,Cebus_aequatorialis,Cebus_aequatorialis,1,0,1,0,0,0,0,489,NA
Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,Cebus_albifrons,Cebus_albifrons,1,0,0,0,1,0,0,496,NA
Cebidae,Cebus,Venezuelan_Brown_Capuchin,Cebus_brunneus,Cebus_brunneus,1,0,0,0,0,0,0,499,NA
Cebidae,Cebus,Colombian_White_faced_Capuchin,Cebus_capucinus,Cebus_capucinus,1,0,0,0,1,0,0,502,NA
Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,Cebus_cesarae,Cebus_cesarae,1,0,0,0,1,0,0,502,NA
Cebidae,Cebus,Shock_headed_Capuchin,Cebus_cuscinus,Cebus_cuscinus,1,0,0,0,1,0,0,504,NA
Cebidae,Cebus,Panamanian_White_faced_Capuchin,Cebus_imitator,Cebus_imitator,1,0,0,0,0,0,0,506,NA
Cebidae,Cebus,Ka_apor_Capuchin,Cebus_kaapori,Cebus_kaapori,1,0,0,0,0,0,0,227,NA
Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,Cebus_leucocephalus,Cebus_leucocephalus,1,0,0,0,0,0,0,499,NA
Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,Cebus_malitiosus,Cebus_malitiosus,1,0,0,0,0,0,0,511,NA
Cebidae,Cebus,Guianan_Weeper_Capuchin,Cebus_olivaceus,Cebus_olivaceus,1,0,0,0,0,0,0,513,NA
