"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Bucinova_et_al_2014	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Physalacriaceae	Hymenopellis	radicata	Microbe								0.32																												JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	capnoides	Microbe						3.93		0.78							11.19																					JS	BA				molar";
"Harmon_et_al_1994	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	capnoides	Microbe						3.03		0.64							10.42																					JS	BA				molar";
"Johanson_et_al_2004	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	capnoides	Microbe				43.39		4.01					12.61																									JS	BA				molar";
"Vetter_1990	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	capnoides	Microbe								0.85																												JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	capnoides	Microbe						2.95		0.37							17.65																					JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	dispersum	Microbe						3.55		0.65							12.04																					JS	BA				molar";
"Campos_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	fasciculare	Microbe								0.44																												JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	fasciculare	Microbe						4.15		0.97							9.44																					JS	BA				molar";
"Vetter_1990	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Hypholoma	lateritium	Microbe								0.51																												JS	BA				molar";
"Vetter_1989	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Pleurotaceae	Hypsizygus	elongatipes	Microbe								0.69																												JS	BA				molar";
"Dimitrijevic_et_al_2016	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.46																												JS	BA				molar";
"Falandysz_et_al_2001	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.83																												JS	BA				molar";
"Kojta_et_al_2012	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.64																												JS	BA				molar";
"Kojta_et_al_2012	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.19																												JS	BA				molar";
"Kojta_et_al_2012	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.39																												JS	BA				molar";
"Kojta_et_al_2012	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.15																												JS	BA				molar";
"Kottke_et_al_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.83																												JS	BA				molar";
"Koukol_et_al_2008	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								1.07																												JS	BA				molar";
"Mleczek_et_al_2015	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.69																												JS	BA				molar";
"Mleczek_et_al_2015	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe								0.57																												JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe						4.95		0.57							19.23																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe						5.5		0.66							18.45																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe						4.4		0.47							20.73																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Imleria	badia	Microbe				43.2		5.2					9.69																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	acuta	Microbe				43.9		4.8					10.67																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	cincinnata	Microbe				43		4.8					10.45																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	geophylla	Microbe				43		5					10.03																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	nitidiuscula	Microbe				42.9		3.8					13.17																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	pseudodestricta	Microbe				43.2		5.3					9.51																									JS	BA				molar";
