"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
2439961,"Monodelphis osgoodi Doutt, 1938","species","ACCEPTED","EXACT","Monodelphis osgoodi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis osgoodi",1,44,359,783,5455,7967492,2439961,FALSE,"Mammalia",NA,NA
2439976,"Monodelphis umbristriata (Miranda-Ribeiro, 1936)","species","ACCEPTED","EXACT","Monodelphis umbristriata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis umbristriata",1,44,359,783,5455,7967492,2439976,FALSE,"Mammalia",NA,NA
2439962,"Monodelphis theresa Thomas, 1921","species","ACCEPTED","EXACT","Monodelphis theresa",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis theresa",1,44,359,783,5455,7967492,2439962,FALSE,"Mammalia",NA,NA
2439975,"Monodelphis sorex (Hensel, 1872)","species","ACCEPTED","EXACT","Monodelphis sorex",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis sorex",1,44,359,783,5455,7967492,2439975,FALSE,"Mammalia",NA,NA
2439974,"Monodelphis scalops (Thomas, 1888)","species","ACCEPTED","EXACT","Monodelphis scalops",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis scalops",1,44,359,783,5455,7967492,2439974,FALSE,"Mammalia",NA,NA
2439967,"Monodelphis rubida (Thomas, 1899)","species","ACCEPTED","EXACT","Monodelphis rubida",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis rubida",1,44,359,783,5455,7967492,2439967,FALSE,"Mammalia",NA,NA
2439969,"Monodelphis palliolata (Osgood, 1914)","species","ACCEPTED","EXACT","Monodelphis palliolata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis palliolata",1,44,359,783,5455,7967492,2439969,FALSE,"Mammalia",NA,NA
2439968,"Monodelphis unistriata (Wagner, 1842)","species","ACCEPTED","EXACT","Monodelphis unistriata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis unistriata",1,44,359,783,5455,7967492,2439968,FALSE,"Mammalia",NA,NA
2439966,"Monodelphis kunsi Pine, 1975","species","ACCEPTED","EXACT","Monodelphis kunsi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis kunsi",1,44,359,783,5455,7967492,2439966,FALSE,"Mammalia",NA,NA
2439963,"Monodelphis glirina (Wagner, 1842)","species","ACCEPTED","EXACT","Monodelphis glirina",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis glirina",1,44,359,783,5455,7967492,2439963,FALSE,"Mammalia",NA,NA
2439965,"Monodelphis domestica (Wagner, 1842)","species","ACCEPTED","EXACT","Monodelphis domestica",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis domestica",1,44,359,783,5455,7967492,2439965,FALSE,"Mammalia",NA,NA
2439959,"Monodelphis dimidiata (Wagner, 1847)","species","ACCEPTED","EXACT","Monodelphis dimidiata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis dimidiata",1,44,359,783,5455,7967492,2439959,FALSE,"Mammalia",NA,NA
2439971,"Monodelphis brevicaudata (Erxleben, 1777)","species","ACCEPTED","EXACT","Monodelphis brevicaudata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis brevicaudata",1,44,359,783,5455,7967492,2439971,FALSE,"Mammalia",NA,NA
2439970,"Monodelphis americana (Müller, 1776)","species","ACCEPTED","EXACT","Monodelphis americana",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis americana",1,44,359,783,5455,7967492,2439970,FALSE,"Mammalia",NA,NA
2439964,"Monodelphis adusta (Thomas, 1897)","species","ACCEPTED","EXACT","Monodelphis adusta",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis adusta",1,44,359,783,5455,7967492,2439964,FALSE,"Mammalia",NA,NA
2439973,"Monodelphis maraxina Thomas, 1923","species","ACCEPTED","EXACT","Monodelphis maraxina",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis maraxina",1,44,359,783,5455,7967492,2439973,FALSE,"Mammalia",NA,NA
2439960,"Monodelphis iheringi (Thomas, 1888)","species","ACCEPTED","EXACT","Monodelphis iheringi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis iheringi",1,44,359,783,5455,7967492,2439960,FALSE,"Mammalia",NA,NA
5219948,"Philander andersoni (Osgood, 1913)","species","ACCEPTED","EXACT","Philander andersoni",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Philander","Philander andersoni",1,44,359,783,5455,5219946,5219948,FALSE,"Mammalia",NA,NA
