"accepted_gbif_id","order","family","status","scientific","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_source","diet_certainty","bodymass_value","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_5cat","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","nocturnal","bodymass_comment","record_comment"
2437728,"Rodentia","Muridae","ACCEPTED","Bandicota savilei",20,0,0,0,0,0,0,0,0,80,"Ref_1","ABC",199,"Ref_117","1",2269,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2432582,"Chiroptera","Vespertilionidae","ACCEPTED","Barbastella barbastellus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",8.03,"Ref_117","1",4492,"Vespertilionidae","A","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2432581,"Chiroptera","Vespertilionidae","ACCEPTED","Barbastella leucomelas",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",15.05,"Ref_117","1",4493,"Vespertilionidae","A","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433586,"Carnivora","Procyonidae","ACCEPTED","Bassaricyon alleni",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1235.01,"Ref_117","1",5063,"Procyonidae","Ar","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433586,"Carnivora","Procyonidae","SYNONYM","Bassaricyon beddardi",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1235.01,"Ref_117","1",5064,"Procyonidae","Ar","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433585,"Carnivora","Procyonidae","ACCEPTED","Bassaricyon gabbii",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1250,"Ref_117","1",5065,"Procyonidae","Ar","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433585,"Carnivora","Procyonidae","SYNONYM","Bassaricyon lasius",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1200,"Ref_117","1",5066,"Procyonidae","Ar","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433585,"Carnivora","Procyonidae","SYNONYM","Bassaricyon pauli",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1200,"Ref_117","1",5067,"Procyonidae","Ar","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433557,"Carnivora","Procyonidae","ACCEPTED","Bassariscus astutus",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",1129.51,"Ref_117","1",5068,"Procyonidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433551,"Carnivora","Procyonidae","ACCEPTED","Bassariscus sumichrasti",20,10,0,0,0,0,70,0,0,0,"Ref_1","ABC",899.99,"Ref_117","1",5069,"Procyonidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
