"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","elton_diet_inv","elton_diet_vend","elton_diet_vect","elton_diet_vfish","elton_diet_vunk","elton_diet_scav","elton_diet_fruit","elton_diet_nect","elton_diet_seed","elton_diet_planto","elton_forstrat_value","elton_forstrat_certainty","elton_activity_nocturnal","elton_activity_crepuscular","elton_activity_diurnal","elton_passnonpass","elton_common_name","elton_diet_5cat","elton_forstrat_watbelowsurf","elton_forstrat_wataroundsurf","elton_forstrat_ground","elton_forstrat_understory","elton_forstrat_midhigh","elton_forstrat_canopy","elton_forstrat_aerial","elton_pelagicspecialist","elton_nocturnal","bodymass_kg"
"Marmosa robinsoni","2439862","2439862","Didelphimorphia","Didelphidae","Marmosa","ACCEPTED","marmosa_robinsoni",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05667
"Marmosops handleyi","2439956","2439956","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_handleyi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0307
"Marmosops juninensis","2439954","2439954","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_juninensis",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops pinheiroi","2439941","2439941","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_pinheiroi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops paulensis","2439948","2439948","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_paulensis",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03889
"Marmosops parvidens","2439947","2439947","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_parvidens",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015
"Marmosops noctivagus","2439957","2439957","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_noctivagus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021
"Marmosops neblina","2439943","2439943","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_neblina",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03157
"Marmosops bishopi","2439942","2439942","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_bishopi",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0195
"Marmosops impavidus","2439945","2439945","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_impavidus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0405
"Marmosops incanus","2439953","2439953","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_incanus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0623
"Marmosops fuscatus","2439949","2439949","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_fuscatus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
"Marmosops dorothea","2439944","2439944","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_dorothea",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0375
"Marmosops cracens","2439955","2439955","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_cracens",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0255
"Marmosops invictus","2439946","2439946","Didelphimorphia","Didelphidae","Marmosops","ACCEPTED","marmosops_invictus",50,0,0,0,0,0,50,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0292
"Metachirus nudicaudatus","9686324","9686324","Didelphimorphia","Didelphidae","Metachirus","ACCEPTED","metachirus_nudicaudatus",30,20,20,0,10,0,20,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375
"Micoureus demerarae","2439898","2439898","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_demerarae",90,0,0,0,0,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07575
"Micoureus regina","2439890","2439890","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_regina",90,0,0,0,0,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1186
"Micoureus paraguayanus","2439895","2439895","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_paraguayanus",30,0,0,0,30,0,20,20,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11243
"Micoureus constantiae","2439904","2439904","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_constantiae",90,0,0,0,0,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
"Micoureus alstoni","2439894","2439894","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_alstoni",90,0,0,0,0,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1323
"Micoureus phaeus","2439889","2439889","Didelphimorphia","Didelphidae","Micoureus","ACCEPTED","micoureus_phaeus",90,0,0,0,0,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10376
"Monodelphis emiliae","2439972","2439972","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_emiliae",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
"Monodelphis osgoodi","2439961","2439961","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_osgoodi",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112
"Monodelphis umbristriata","2439976","2439976","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_umbristriata",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06154
"Monodelphis theresa","2439962","2439962","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_theresa",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112
"Monodelphis sorex","2439975","2439975","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_sorex",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048
"Monodelphis scalops","2439974","2439974","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_scalops",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741
"Monodelphis rubida","2439967","2439967","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_rubida",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0455
"Monodelphis palliolata","2439969","2439969","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_palliolata",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06154
"Monodelphis unistriata","2439968","2439968","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_unistriata",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0553
"Monodelphis kunsi","2439966","2439966","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_kunsi",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113
"Monodelphis glirina","2439963","2439963","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_glirina",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06154
"Monodelphis domestica","2439965","2439965","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_domestica",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0714
"Monodelphis dimidiata","2439959","2439959","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_dimidiata",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058
"Monodelphis brevicaudata","2439971","2439971","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_brevicaudata",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06963
"Monodelphis americana","2439970","2439970","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_americana",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0195
"Monodelphis adusta","2439964","2439964","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_adusta",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035
"Monodelphis maraxina","2439973","2439973","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_maraxina",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06157
"Monodelphis iheringi","2439960","2439960","Didelphimorphia","Didelphidae","Monodelphis","ACCEPTED","monodelphis_iheringi",20,20,0,0,0,20,20,0,20,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112
"Philander andersoni","5219948","5219948","Didelphimorphia","Didelphidae","Philander","ACCEPTED","philander_andersoni",30,30,20,0,10,0,10,0,0,0,"S","A",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325
"Philander opossum","5219950","5219950","Didelphimorphia","Didelphidae","Philander","ACCEPTED","philander_opossum",30,30,20,0,10,0,10,0,0,0,"S","A",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5855
"Philander mcilhennyi","5219947","5219947","Didelphimorphia","Didelphidae","Philander","ACCEPTED","philander_mcilhennyi",30,30,20,0,10,0,10,0,0,0,"S","A",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325
"Philander frenatus","5219949","5219949","Didelphimorphia","Didelphidae","Philander","ACCEPTED","philander_frenatus",30,30,20,0,10,0,10,0,0,0,"S","A",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39545
"Thylamys pusillus","2439914","2439914","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_pusillus",80,0,0,0,10,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02821
"Thylamys venustus","2439907","2439907","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_venustus",80,0,0,0,20,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02441
"Thylamys tatei","2439910","2439910","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_tatei",80,0,0,0,20,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02441
"Thylamys sponsorius","2439917","2439917","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_sponsorius",80,0,0,0,20,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02441
"Thylamys velutinus","2439906","2439906","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_velutinus",80,0,0,0,10,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0207
"Thylamys macrurus","2439911","2439911","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_macrurus",80,0,0,0,10,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03443
"Thylamys karimii","2439909","2439909","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_karimii",80,0,0,0,20,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02441
"Thylamys cinderella","2439913","2439913","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_cinderella",80,0,0,0,20,0,0,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02441
"Thylamys elegans","2439908","2439908","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_elegans",80,0,0,0,10,0,10,0,0,0,"S","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289
"Thylamys pallidior","2439916","2439916","Didelphimorphia","Didelphidae","Thylamys","ACCEPTED","thylamys_pallidior",80,0,0,0,10,0,10,0,0,0,"S","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149
"Tlacuatzin canescens","2439932","2439932","Didelphimorphia","Didelphidae","Tlacuatzin","ACCEPTED","tlacuatzin_canescens",40,10,10,0,10,0,30,0,0,0,"Ar","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04773
