"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Akodon leucolimnaeus","Akodon leucolimnaeus",4265082,"SYNONYM","EXACT","Akodon spegazzinii",2437919,"Rodentia","Cricetidae"
"Akodon lindberghi","Akodon lindberghi",2437890,"ACCEPTED","EXACT","Akodon lindberghi",2437890,"Rodentia","Cricetidae"
"Akodon lutescens","Akodon lutescens",4265087,"ACCEPTED","EXACT","Akodon lutescens",4265087,"Rodentia","Cricetidae"
"Akodon mimus","Akodon mimus",2437896,"ACCEPTED","EXACT","Akodon mimus",2437896,"Rodentia","Cricetidae"
"Akodon molinae","Akodon molinae",2437879,"ACCEPTED","EXACT","Akodon molinae",2437879,"Rodentia","Cricetidae"
"Akodon mollis","Akodon mollis",2437912,"ACCEPTED","EXACT","Akodon mollis",2437912,"Rodentia","Cricetidae"
"Akodon montensis","Akodon montensis",4265083,"ACCEPTED","EXACT","Akodon montensis",4265083,"Rodentia","Cricetidae"
"Akodon mystax","Akodon mystax",4265089,"ACCEPTED","EXACT","Akodon mystax",4265089,"Rodentia","Cricetidae"
"Akodon neocenus","Akodon neocenus",2437898,"ACCEPTED","EXACT","Akodon neocenus",2437898,"Rodentia","Cricetidae"
"Akodon oenos","Akodon oenos",4265084,"SYNONYM","EXACT","Akodon spegazzinii",2437919,"Rodentia","Cricetidae"
"Akodon orophilus","Akodon orophilus",2437883,"ACCEPTED","EXACT","Akodon orophilus",2437883,"Rodentia","Cricetidae"
"Akodon paranaensis","Akodon paranaensis",4265088,"ACCEPTED","EXACT","Akodon paranaensis",4265088,"Rodentia","Cricetidae"
"Akodon pervalens","Akodon pervalens",4265086,"ACCEPTED","EXACT","Akodon pervalens",4265086,"Rodentia","Cricetidae"
"Akodon reigi","Akodon reigi",4265081,"ACCEPTED","EXACT","Akodon reigi",4265081,"Rodentia","Cricetidae"
"Akodon sanctipaulensis","Akodon sanctipaulensis",2437885,"ACCEPTED","EXACT","Akodon sanctipaulensis",2437885,"Rodentia","Cricetidae"
"Akodon serrensis","Akodon serrensis",2437917,"ACCEPTED","EXACT","Akodon serrensis",2437917,"Rodentia","Cricetidae"
"Akodon siberiae","Akodon siberiae",2437902,"ACCEPTED","EXACT","Akodon siberiae",2437902,"Rodentia","Cricetidae"
"Akodon simulator","Akodon simulator",2437887,"ACCEPTED","EXACT","Akodon simulator",2437887,"Rodentia","Cricetidae"
"Akodon spegazzinii","Akodon spegazzinii",2437919,"ACCEPTED","EXACT","Akodon spegazzinii",2437919,"Rodentia","Cricetidae"
"Akodon subfuscus","Akodon subfuscus",2437904,"ACCEPTED","EXACT","Akodon subfuscus",2437904,"Rodentia","Cricetidae"
"Akodon surdus","Akodon surdus",2437889,"ACCEPTED","EXACT","Akodon surdus",2437889,"Rodentia","Cricetidae"
"Akodon sylvanus","Akodon sylvanus",2437906,"ACCEPTED","EXACT","Akodon sylvanus",2437906,"Rodentia","Cricetidae"
"Akodon toba","Akodon toba",2437891,"ACCEPTED","EXACT","Akodon toba",2437891,"Rodentia","Cricetidae"
"Akodon torques","Akodon torques",2437921,"ACCEPTED","EXACT","Akodon torques",2437921,"Rodentia","Cricetidae"
"Akodon varius","Akodon varius",2437922,"ACCEPTED","EXACT","Akodon varius",2437922,"Rodentia","Cricetidae"
