"accepted_gbif_id","species","status","order","family","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","omnivore","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant","diet_source","diet_certainty","bodymass_kg","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","bodymass_comment","record_comment"
5218702,"acerodon_mackloti","ACCEPTED","Chiroptera","Pteropodidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"Ref_1","ABC",0.47033,"Ref_117","1",3671,"Pteropodidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435270,"acinonyx_jubatus","ACCEPTED","Carnivora","Felidae",NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,"Ref_1","ABC",46.7,"Ref_117","1",4791,"Felidae","G","A",NA,0,0,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264831,"acomys_airensis","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.02881,"Ref_2","Ref_3",2048,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9800308,"acomys_cahirinus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.05245,"Ref_117","1",2063,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264829,"acomys_chudeaui","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.02881,"Ref_2","Ref_3",2062,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438254,"acomys_cilicicus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.02861,"Ref_178","2",2061,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264827,"acomys_cineraceus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.03059,"Ref_178","2",2060,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264830,"acomys_dimidiatus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.02881,"Ref_2","Ref_3",2059,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438263,"acomys_ignitus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.024,"Ref_117","1",2058,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264828,"acomys_johannis","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.02881,"Ref_2","Ref_3",2057,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438255,"acomys_kempi","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.022,"Ref_117","1",2055,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438260,"acomys_louisae","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.0202,"Ref_117","1",2064,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438264,"acomys_minous","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.0625,"Ref_117","1",2047,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438256,"acomys_mullah","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.02874,"Ref_178","2",2056,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438261,"acomys_nesiotes","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.02867,"Ref_178","2",2049,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438265,"acomys_percivali","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.022,"Ref_117","1",2050,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438257,"acomys_russatus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_1","ABC",0.04975,"Ref_117","1",2053,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264826,"acomys_seurati","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,"Ref_2","D1",0.02881,"Ref_2","Ref_3",2054,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438266,"acomys_spinosissimus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.0265,"Ref_117","1",2051,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438258,"acomys_subspinosus","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.021,"Ref_117","1",2065,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438262,"acomys_wilsoni","ACCEPTED","Rodentia","Muridae",NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,"Ref_1","ABC",0.0185,"Ref_117","1",2052,"Muridae","G","A",NA,1,1,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
