"reference_ID","first_author","reference_year","data_source","data_digitizer","data_checker","sample_type","body_part","food_ref","egestion_age","egestion_age_unit","bodymass_mean","bodymass_min","bodymass_max","bodymass_value_error","bodymass_error_type","bodymass_n_samples","bodymass_unit","bodymass_weight_type","age_mean","age_min","age_max","age_value_error","age_error_type","age_n_samples","age_unit","male_prop","sampling_year","sampling_month","sampling_day","sampling_season","sampling_location","sampling_latitude","sampling_longitude","location_in_reference","organism_name_ref","species_latin_name_ref","species_latin_name_gbif","gbif_id","gbif_id2","organism_stage","environment","temperature","food_ID","body_ID","feces_ID","urine_ID","nb_items_per_sample","nb_individuals_per_sample","individual_known","observation_resolution","observation_ID","animal_group_ID","times_series_ID","time_point","time_unit","repetition_ID","component_name","component_mean","component_min","component_max","component_value_error","component_error_type","component_n_samples","component_unit","component_weight_type","component_data_type","component_detail","component_extraction_method","component_measure_method","freezing","autoclaving","drying","oven","drying_time","drying_time_unit","drying_temp","drying_temp_unit","grinding","grinding_fineness","grinding_fineness_unit","comments"
"1030_999","charberet",2020,568,"charberet",NA,"feces",NA,NA,NA,NA,350,NA,NA,NA,NA,NA,"kg","ww",6,NA,NA,NA,NA,NA,"year",1,2021,1,27,NA,"menagerie_zoo_du_jardin_des_plantes",NA,NA,NA,NA,"acrocodia_indica","acrocodia_indica",7818962,7818962,NA,"zoo","15",NA,NA,148,NA,NA,NA,1,"individual",899,NA,NA,NA,NA,NA,"K",3574,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7818962-568-i1-1"
"1030_999","charberet",2020,568,"charberet",NA,"feces",NA,NA,NA,NA,350,NA,NA,NA,NA,NA,"kg","ww",6,NA,NA,NA,NA,NA,"year",1,2021,1,27,NA,"menagerie_zoo_du_jardin_des_plantes",NA,NA,NA,NA,"acrocodia_indica","acrocodia_indica",7818962,7818962,NA,"zoo","15",NA,NA,148,NA,NA,NA,1,"individual",900,NA,NA,NA,NA,NA,"Mg",1049,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7818962-568-i1-1"
"1030_999","charberet",2020,568,"charberet",NA,"feces",NA,NA,NA,NA,350,NA,NA,NA,NA,NA,"kg","ww",6,NA,NA,NA,NA,NA,"year",1,2021,1,27,NA,"menagerie_zoo_du_jardin_des_plantes",NA,NA,NA,NA,"acrocodia_indica","acrocodia_indica",7818962,7818962,NA,"zoo","15",NA,NA,148,NA,NA,NA,1,"individual",901,NA,NA,NA,NA,NA,"P",2689,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7818962-568-i1-1"
"1030_999","charberet",2020,925,"charberet",NA,"feces",NA,NA,"<12","hour",2500,NA,NA,NA,NA,NA,"kg","ww",8,NA,NA,NA,NA,NA,"year",1,2021,7,21,NA,"zoo_safari_de_thoiry",NA,NA,NA,NA,"ceratotherium_simum","ceratotherium_simum",2440880,2440880,NA,"zoo","20",NA,NA,93,NA,NA,NA,1,"individual",902,NA,NA,NA,NA,NA,"K",7372,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440880-925-i1-1"
"1030_999","charberet",2020,925,"charberet",NA,"feces",NA,NA,"<12","hour",2500,NA,NA,NA,NA,NA,"kg","ww",8,NA,NA,NA,NA,NA,"year",1,2021,7,21,NA,"zoo_safari_de_thoiry",NA,NA,NA,NA,"ceratotherium_simum","ceratotherium_simum",2440880,2440880,NA,"zoo","20",NA,NA,93,NA,NA,NA,1,"individual",903,NA,NA,NA,NA,NA,"Mg",890,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440880-925-i1-1"
"1030_999","charberet",2020,925,"charberet",NA,"feces",NA,NA,"<12","hour",2500,NA,NA,NA,NA,NA,"kg","ww",8,NA,NA,NA,NA,NA,"year",1,2021,7,21,NA,"zoo_safari_de_thoiry",NA,NA,NA,NA,"ceratotherium_simum","ceratotherium_simum",2440880,2440880,NA,"zoo","20",NA,NA,93,NA,NA,NA,1,"individual",904,NA,NA,NA,NA,NA,"P",3220,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440880-925-i1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,26,NA,"zoo_african_safari",NA,NA,NA,NA,"bos_taurus","bos_taurus",2441022,2441022,NA,"zoo",NA,NA,NA,155,NA,NA,NA,0,"population",905,NA,NA,NA,NA,NA,"K",4734,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441022-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,26,NA,"zoo_african_safari",NA,NA,NA,NA,"bos_taurus","bos_taurus",2441022,2441022,NA,"zoo",NA,NA,NA,155,NA,NA,NA,0,"population",906,NA,NA,NA,NA,NA,"Mg",4142,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441022-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,26,NA,"zoo_african_safari",NA,NA,NA,NA,"bos_taurus","bos_taurus",2441022,2441022,NA,"zoo",NA,NA,NA,155,NA,NA,NA,0,"population",907,NA,NA,NA,NA,NA,"P",5039,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441022-103-g1-1"
"1030_999","charberet",2020,925,"charberet",NA,"feces",NA,NA,"<24","hour",500,NA,NA,NA,NA,NA,"kg","ww",15,NA,NA,NA,NA,NA,"year",0,2021,7,14,NA,"zoo_safari_de_thoiry",NA,NA,NA,NA,"bos_taurus","bos_taurus",2441022,2441022,NA,"zoo","20",NA,NA,143,NA,NA,NA,1,"individual",908,NA,NA,NA,NA,NA,"K",8956,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441022-925-i1-1"
