Feed,Classification,Infraclass,Overorder,Without_Rang,Order,Underorder,Overfamily,Family,Extra,PanTheria,Source,DOI,Species,Species_lat,Difference,Food/Nutrition,Body_mass,Food_intake_in_dry_matter_per_day_in_gm,DM_dry_matter_diet,OM_organic_material_diet,CP_Crude_Protein_diet,EE_Ether_Extract_diet,NDF_diet,CF_Crude_Fibre_diet,CA_Crude_Ash_diet,N_Nitrogen_diet,Ca_diet,P_diet,Na_diet,K_diet,Mg_diet,dDM,dOM,dCP,dEE,dNDF,dCF,dCA,DM_ad,OM_ad,CP_ad,EE_ad,NDF_ad,CF_ad,CA_ad,Ca_ad,P_ad,Na_ad,K_ad,Mg_ad,Source
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Keiver et al. (1984),,Harp seal,Phoca groenlandica,,Carnivore,,,,,58.75,20.9,,,,,,,,,,,,48.06,18.64,,,,,,81.8,89.2,,,,,,,,,Keiver et al. (1984)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Goodman-Lowe et al. (1999),,Hawaiian monk seal,Monachus schauinslandi,,Carnivore,,,,,77.1,,,,,,,,,,,,,62.53,,,,,,,81.1,,,,,,,,,,Goodman-Lowe et al. (1999)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Goodman-Lowe et al. (1999),,Hawaiian monk seal,Monachus schauinslandi,,Carnivore,,,,,44.9,,,,,,,,,,,,,29.27,,,,,,,65.2,,,,,,,,,,Goodman-Lowe et al. (1999)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Goodman-Lowe et al. (1999),,Hawaiian monk seal,Monachus schauinslandi,,Carnivore,,,,,52.7,,,,,,,,,,,,,41.32,,,,,,,78.4,,,,,,,,,,Goodman-Lowe et al. (1999)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Trumble et al. (2003),,Harbor seal,Phoca vitulina,,Carnivore,,,,,59.69,,,,,,,,,,,,,53.61,,,,,,,89.82,,,,,,,,,,Trumble et al. (2003)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Trumble et al. (2003),,Harbor seal,Phoca vitulina,,Carnivore,,,,,68.16,,,,,,,,,,,,,55.68,,,,,,,81.69,,,,,,,,,,Trumble et al. (2003)
Carnivore,2_2_1_1_7,2,2,,1,,1,7,,,Trumble et al. (2003),,Harbor seal,Phoca vitulina,,Carnivore,,,,,76.07,,,,,,,,,,,,,51.1,,,,,,,67.17,,,,,,,,,,Trumble et al. (2003)
Carnivore,2_2_1_1_6,2,2,,1,,1,6,,,Fisher et al. (1992),,Walrus,Odobenus rosmarus,,Carnivore,,,,,47.47,48.93,,,,,,,,,,,,43.6,45.24,,,,,,91.85,92.45,,,,,,,,,Fisher et al. (1992)
Carnivore,2_2_1_1_6,2,2,,1,,1,6,,,Fisher et al. (1992),,Walrus,Odobenus rosmarus,,Carnivore,,,,,47.47,48.93,,,,,,,,,,,,44.83,47.1,,,,,,94.45,96.25,,,,,,,,,Fisher et al. (1992)
Carnivore,2_2_1_1_6,2,2,,1,,1,6,,,Fisher et al. (1992),,Walrus,Odobenus rosmarus,,Carnivore,,,,,76.07,5.3,,,,,,,,,,,,71.5,3.88,,,,,,94,73.2,,,,,,,,,Fisher et al. (1992)
Carnivore,2_2_1_1_6,2,2,,1,,1,6,,,Fisher et al. (1992),,Walrus,Odobenus rosmarus,,Carnivore,,,,,76.07,5.3,,,,,,,,,,,,72.95,3.87,,,,,,95.9,73.1,,,,,,,,,Fisher et al. (1992)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,39.91,34.47,,,,,,,,,,,,32.81,33.47,,,,,,82.2,97.1,,,,,,,,,Ahlstrom & Skrede (1995)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,39.02,30.73,,,,,,,,,,,,32.31,29.81,,,,,,82.8,97,,,,,,,,,Ahlstrom & Skrede (1995)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,38.4,26.93,,,,,,,,,,,,30.72,25.91,,,,,,80,96.2,,,,,,,,,Ahlstrom & Skrede (1995)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,37.24,23.18,,,,,,,,,,,,30.39,22.32,,,,,,81.6,96.3,,,,,,,,,Ahlstrom & Skrede (1995)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,34.55,19.9,,,,,,,,,,,,28.92,19.14,,,,,,83.7,96.2,,,,,,,,,Ahlstrom & Skrede (1995)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1995),,Nerz,Mustela vison,,Carnivore,,,,,32.69,18.01,,,,,,,,,,,,26.71,16.93,,,,,,81.7,94,,,,,,,,,Ahlstrom & Skrede (1995)
