Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Wildebeest;346.7;14.86;2.45;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;82
Wildebeest;338.5;15.93;2.35;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;83
Wildebeest;339.4;15.02;2.17;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;84
Wildebeest;339.5;16.75;2.29;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;85
Wildebeest;341.9;19.09;2.39;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;86
Wildebeest;344.3;14.31;2.28;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;87
Wildebeest;337.8;15.94;2.26;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;88
Wildebeest;332.4;16.34;3.45;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;89
Wildebeest;341.9;17.56;2.54;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;90
Buffalo;393.2;9.71;2.50;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;91
Buffalo;389.2;9.14;2.32;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;92
Buffalo;387.1;10.03;2.06;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;93
Buffalo;394.7;9.55;2.42;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;94
Buffalo;387.5;10.39;2.57;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;95
Giraffe;439.1;20.38;1.84;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;96
Giraffe;447.7;36.55;3.59;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;97
Giraffe;453.5;30.82;3.57;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;98
Giraffe;414.9;31.59;3.51;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;99
Giraffe;441.7;38.33;4.26;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;100
Reedbuck;398.4;19.73;4.24;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;101
Reedbuck;403.2;18.82;4.19;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;102
Reedbuck;395.7;18.18;3.89;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;103
Reedbuck;400.0;18.43;4.24;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;104
Reedbuck;398.7;19.73;4.07;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;105
Warthog;332.5;11.11;3.69;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;106
Warthog;394.9;14.78;4.80;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;107
Warthog;381.4;11.48;3.95;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;108
Warthog;356.6;10.85;3.29;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;109
Warthog;361.4;12.05;3.70;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;110
Waterbuck;387.3;10.83;2.19;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;111
Waterbuck;395.7;10.25;2.00;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;112
Waterbuck;393.4;10.23;2.08;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;113
Waterbuck;399.6;10.37;2.05;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;114
Waterbuck;394.5;11.89;2.29;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;115
Wildebeest;380.0;9.41;6.56;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;116
Wildebeest;384.8;9.96;6.78;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;117
Wildebeest;384.5;9.36;6.65;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;118
