"","Species","date","day","month","year","data","location","period","feces_ID","component_name","component_mean"
"168","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",60,"C",461.1
"169","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",60,"N",38.33
"170","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",60,"P",4.26
"171","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",61,"C",382.4
"172","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",61,"N",20.15
"173","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",61,"P",4.98
"174","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",62,"C",380.3
"175","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",62,"N",19.73
"176","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",62,"P",4.24
"177","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",63,"C",374.6
"178","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",63,"N",18.82
"179","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",63,"P",4.19
"180","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",64,"C",377.6
"181","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",64,"N",18.18
"182","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",64,"P",3.89
"183","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",65,"C",376.5
"184","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",65,"N",18.43
"185","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",65,"P",4.24
"186","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",66,"C",395.6
"187","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",66,"N",19.73
"188","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",66,"P",4.07
"189","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",67,"C",378.3
"190","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",67,"N",18.94
"191","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",67,"P",4.26
"192","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",68,"C",376.8
"193","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",68,"N",18.47
"194","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",68,"P",3.99
"195","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",69,"C",385.3
"196","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",69,"N",18.22
"197","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",69,"P",4.26
"198","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",70,"C",390.7
"199","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",70,"N",18.86
"200","Reedbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",70,"P",4.07
"201","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",71,"C",378.8
"202","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",71,"N",8.58
"203","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",71,"P",2.09
"204","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",72,"C",384.3
