Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_58,Gnamptogenys,menadensis,False,"Fayle, Tom",5.033,118.583,Worker,3,1.4,Not in paper,Not in paper,Not in paper,1.65,Not in paper,1.996266667,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_59,Cardiocondyla,microseta,False,"Fayle, Tom",5.033,118.583,Worker,4,0.375,Not in paper,Not in paper,Not in paper,0.325,Not in paper,0.408775,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_60,Pyramica,mitis,False,"Fayle, Tom",5.033,118.583,Worker,3,0.3,Not in paper,Not in paper,Not in paper,0.3,Not in paper,0.4531,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_61,Crematogaster,modiglianii,False,"Fayle, Tom",5.033,118.583,Worker,4,0.775,Not in paper,Not in paper,Not in paper,1.05,Not in paper,1.088425,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_62,Anochetus,myops,False,"Fayle, Tom",5.033,118.583,Worker,2,0.8,Not in paper,Not in paper,Not in paper,0.5,Not in paper,0.9259,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_63,Polyrhachis,noesaensis,False,"Fayle, Tom",5.033,118.583,Worker,2,2.55,Not in paper,Not in paper,Not in paper,3.95,Not in paper,3.5854,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_64,Tetramorium,ocuthrum,False,"Fayle, Tom",5.033,118.583,Worker,3,0.633333333,Not in paper,Not in paper,Not in paper,0.6,Not in paper,0.774866667,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_65,Pheidologeton,pygmaueus,False,"Fayle, Tom",5.033,118.583,Worker,2,0.4,Not in paper,Not in paper,Not in paper,0.4,Not in paper,0.50235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_66,Diacamma,rugosum,False,"Fayle, Tom",5.033,118.583,Worker,4,2.425,Not in paper,Not in paper,Not in paper,3.225,Not in paper,3.6445,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_67,Cryptopone,testacea,False,"Fayle, Tom",5.033,118.583,Worker,1,0.6,Not in paper,Not in paper,Not in paper,0.45,Not in paper,0.7289,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_68,Pyramica,themis,False,"Fayle, Tom",5.033,118.583,Worker,4,0.6,Not in paper,Not in paper,Not in paper,0.5,Not in paper,0.7092,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_69,Strumigenys,treptodens,False,"Fayle, Tom",5.033,118.583,Worker,4,0.725,Not in paper,Not in paper,Not in paper,0.525,Not in paper,0.67965,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Fayle&Yusah_noyeara,,Fayle&Yusah_noyeara_traits_70,Pachycondyla,tridentata,False,"Fayle, Tom",5.033,118.583,Worker,2,3,Not in paper,Not in paper,Not in paper,3.8,Not in paper,5.2205,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_0,Anonychomyrma,A,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.350406906,0.912132666,0.65238179,1.086515531,Not in paper,0.489751978,0.132382023,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_1,Pheidole,A,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.390898964,0.657605505,0.514248967,0.7967258,Not in paper,0.394606133,0.102800778,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_2,Heteroponera,AA,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.412336028,0.646492073,0.479883319,1.084665847,Not in paper,0.653293961,0.120337027,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_3,Heteroponera,AA,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.410527709,0.679883078,0.476593118,1.078844289,Not in paper,0.60117302,0.126810883,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_4,Polyrhachis,B,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,1.148115412,2.964686324,2.531445832,3.429016915,Not in paper,0.275829658,0.496307364,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_5,Tapinoma,B,True,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.215037206,0.434222293,0.356848707,0.566972662,Not in paper,0.500288917,0.091241438,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_6,Podomyrma,elongata,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.518116782,1.030411568,0.667929637,1.569894901,Not in paper,0.468048074,0.195645087,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_7,Camponotus,gasseri,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.756227479,1.516443537,1.087656196,1.880446755,Not in paper,0.734888427,0.256632032,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_8,Camponotus,gasseri,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.437768204,1.317672569,0.977180127,1.717681286,Not in paper,1.674080345,0.231008658,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_9,Technomyrmex,jocosus,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.356001404,0.765410347,0.562249944,0.990826423,Not in paper,0.487467948,0.143391074,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_10,Monomorium,leae,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.2858706,0.582910799,0.473164876,0.700548357,Not in paper,0.483993802,0.086683332,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_11,Monomorium,leae,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.3125012,0.646947448,0.513688622,0.783134727,Not in paper,0.503480883,0.086284413,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_12,Monomorium,leae,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.303402373,0.63174441,0.509651842,0.734782961,Not in paper,1.922432314,0.074946648,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_13,Iridomyrmex,minor,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.543960477,1.66291912,1.169472103,1.577283741,Not in paper,0.929025834,0.222036033,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_14,Iridomyrmex,rufoniger,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.426063376,1.055224147,0.756477363,1.23687752,Not in paper,0.474977894,0.185539753,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_15,Iridomyrmex,rufoniger,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.427571047,1.072765119,0.761457156,1.101466749,Not in paper,0.48,0.170205758,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb&Cunningham_noyear,,Gibb&Cunningham_noyear_traits_16,Iridomyrmex,rufoniger,False,"Gibb, Heloise",Not in paper,Not in paper,Worker,1,Not in paper,Not in paper,Not in paper,0.436589052,1.107028907,0.748265327,1.138953906,Not in paper,0.876468482,0.177341479,Not in paper,Not in paper,Not in paper,0,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_0,Leptothorax,acervorum,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,0.270061728,0.285493827,Not in paper,Not in paper,0.24691358,0.200617284,0.354938272,0.169753086,Not in paper,0.038580247,1.35,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_1,Leptothorax,acervorum,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,0.24691358,0.25462963,Not in paper,Not in paper,0.200617284,0.200617284,0.324074074,0.162037037,Not in paper,0.030864198,1.29,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_2,Leptothorax,acervorum,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,0.262345679,0.300925926,Not in paper,Not in paper,0.239197531,0.208333333,0.37808642,0.185185185,Not in paper,0.046296296,1.47,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_3,Leptothorax,acervorum,False,"Gibb, Heloise",64.1729,20.0542,Worker,1,0.270061728,0.293209877,Not in paper,Not in paper,0.231481481,0.192901235,0.331790123,0.185185185,Not in paper,0.038580247,1.37,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_4,Leptothorax,acervorum,False,"Gibb, Heloise",64.2563,20.0375,Worker,1,0.262345679,0.308641975,Not in paper,Not in paper,0.239197531,0.208333333,0.362654321,0.192901235,Not in paper,0.038580247,1.41,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_5,Leptothorax,acervorum,False,"Gibb, Heloise",64.2563,20.0375,Worker,1,0.277777778,0.308641975,Not in paper,Not in paper,0.231481481,0.192901235,0.354938272,0.192901235,Not in paper,0.038580247,1.45,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_6,Leptothorax,acervorum,False,"Gibb, Heloise",64.2563,20.0375,Worker,1,0.25462963,0.270061728,Not in paper,Not in paper,0.216049383,0.200617284,0.324074074,0.169753086,Not in paper,0.030864198,1.27,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_7,Leptothorax,acervorum,False,"Gibb, Heloise",64.2563,20.0375,Worker,1,0.270061728,0.285493827,Not in paper,Not in paper,0.231481481,0.192901235,0.339506173,0.177469136,Not in paper,0.038580247,1.35,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_8,Leptothorax,acervorum,False,"Gibb, Heloise",64.2813,20.0375,Worker,1,0.270061728,0.293209877,Not in paper,Not in paper,0.223765432,0.216049383,0.339506173,0.177469136,Not in paper,0.038580247,1.33,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_9,Leptothorax,acervorum,False,"Gibb, Heloise",64.3438,20.3542,Worker,1,0.24691358,0.300925926,Not in paper,Not in paper,0.24691358,0.208333333,0.354938272,0.177469136,Not in paper,0.054012346,1.35,2,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_10,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.72,0.736,Not in paper,Not in paper,1.104,0.672,1.04,0.528,Not in paper,0.128,3.4,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_11,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.736,0.896,Not in paper,Not in paper,0.944,0.736,1.072,0.544,Not in paper,0.128,3.6,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_12,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.672,0.768,Not in paper,Not in paper,0.96,0.704,0.96,0.512,Not in paper,0.16,3.4,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_13,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.752,0.784,Not in paper,Not in paper,0.96,0.72,1.024,0.624,Not in paper,0.144,3.88,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_14,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.64,0.704,Not in paper,Not in paper,0.896,0.544,0.96,0.512,Not in paper,0.128,3.2,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_15,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.72,0.736,Not in paper,Not in paper,0.96,0.72,1.072,0.528,Not in paper,0.128,3.56,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_16,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.784,0.832,Not in paper,Not in paper,1.04,0.704,0.976,0.592,Not in paper,0.16,3.96,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_17,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.624,0.72,Not in paper,Not in paper,0.864,0.64,0.928,0.528,Not in paper,0.16,3.32,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_18,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.736,0.784,Not in paper,Not in paper,1.008,0.72,1.104,0.544,Not in paper,0.144,3.76,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_19,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.768,0.816,Not in paper,Not in paper,0.96,0.752,1.072,0.576,Not in paper,0.144,3.84,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_20,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.752,0.752,Not in paper,Not in paper,0.976,0.736,1.088,0.56,Not in paper,0.144,3.68,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_21,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.672,0.736,Not in paper,Not in paper,0.912,0.688,1.04,0.528,Not in paper,0.128,3.2,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_22,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.688,0.736,Not in paper,Not in paper,0.96,0.72,0.976,0.512,Not in paper,0.144,3.52,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_23,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.704,0.736,Not in paper,Not in paper,0.96,0.704,1.056,0.576,Not in paper,0.144,3.6,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_24,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.72,0.8,Not in paper,Not in paper,1.024,0.672,0.992,0.512,Not in paper,0.144,3.44,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_25,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.688,0.704,Not in paper,Not in paper,0.976,0.688,0.976,0.592,Not in paper,0.16,3.44,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_26,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.656,0.72,Not in paper,Not in paper,0.944,0.64,0.944,0.464,Not in paper,0.128,3.28,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_27,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.752,0.832,Not in paper,Not in paper,1.04,0.72,1.024,0.624,Not in paper,0.16,3.76,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_28,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.72,0.8,Not in paper,Not in paper,0.976,0.704,0.992,0.528,Not in paper,0.144,3.68,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_29,Formica,aquilonia,False,"Gibb, Heloise",64.2646,20.1208,Worker,1,0.72,0.8,Not in paper,Not in paper,0.96,0.64,0.976,0.496,Not in paper,0.144,3.24,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_30,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,2.222222222,2.622222222,Not in paper,Not in paper,1.911111111,1.223444444,3.111111111,2,Not in paper,0.311111111,16.83,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Gibb_2011,,Gibb_2011_traits_31,Camponotus,herculeanus,False,"Gibb, Heloise",64.1479,20.0792,Worker,1,2,1.644444444,Not in paper,Not in paper,2.222222222,1.644444444,2.666666667,1.511111111,Not in paper,0.266666667,13.81,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Polymorphic (3),Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
